X,Y
501.8694,364.4866
514.9554,394.7321
529.9107,424.9777
533.6496,479.4196
537.3884,558.058
546.7355,485.4688
556.0826,455.2232
571.0379,431.0268
587.8627,424.9777
599.0792,431.0268
602.8181,485.4688
608.4263,455.2232
615.904,443.125
621.5123,443.125
632.7288,479.4196
642.0759,443.125
649.5536,418.9286
657.0313,418.9286
662.6395,382.6339
670.1172,352.3884
677.5949,328.192
685.0725,328.192
688.8114,358.4375
692.5502,364.4866
696.2891,334.2411
703.7667,322.1429
709.375,297.9464
716.8527,322.1429
724.3304,352.3884
733.6775,340.2902
746.7634,358.4375
761.7188,297.9464
767.327,261.6518
776.6741,249.5536
786.0212,231.4063
791.6295,231.4063
797.2377,213.2589
806.5848,207.2098
810.3237,189.0625
821.5402,164.8661
827.1484,146.7188
832.7567,134.6205
838.365,122.5223
849.5815,110.4241
858.9286,110.4241
866.4063,122.5223
875.7533,201.1607
883.231,316.0938
896.317,1054.0848
901.9252,739.5313
907.5335,479.4196
913.1417,213.2589
918.75,183.0134
928.0971,201.1607
931.8359,291.8973
941.183,219.308
948.6607,328.192
954.269,267.7009
965.4855,334.2411
969.2243,285.8482
974.8326,231.4063
982.3103,237.4554
986.0491,328.192
991.6574,467.3214
1006.6127,806.0714
1015.9598,612.5
1032.7846,1907.0089
1044.0011,1598.5045
1051.4788,1423.0804
1055.2176,1368.6384
1064.5647,1622.7009
1072.0424,1041.9866
1079.5201,467.3214
1090.7366,406.8304
1096.3449,443.125
1103.8225,449.1741
1113.1696,539.9107
1118.7779,418.9286
1122.5167,340.2902
1129.9944,394.7321
1139.3415,703.2366
1144.9498,297.9464
1154.2969,255.6027
1161.7746,291.8973
1174.8605,291.8973
1182.3382,255.6027
1191.6853,231.4063
1208.51,225.3571
1219.7266,303.9955
1223.4654,382.6339
1227.2042,479.4196
1230.9431,352.3884
1238.4208,297.9464
1244.029,267.7009
1257.115,249.5536
1277.6786,261.6518
1281.4174,346.3393
1287.0257,358.4375
1294.5033,303.9955
1300.1116,279.7991
1309.4587,297.9464
1320.6752,328.192
1330.0223,352.3884
1337.5,400.7813
1341.2388,467.3214
1348.7165,406.8304
1359.933,322.1429
1367.4107,382.6339
1378.6272,449.1741
1387.9743,612.5
1393.5826,600.4018
1399.1908,570.1563
1404.7991,570.1563
1408.5379,921.0045
1414.1462,854.4643
1421.6239,1356.5402
1434.7098,945.2009
1438.4487,872.6116
1442.1875,769.7768
1447.7958,679.0402
1457.1429,600.4018
1466.49,576.2054
1479.5759,588.3036
1487.0536,775.8259
1500.1395,1271.8527
1511.356,1507.7679
1520.7031,1386.7857
1526.3114,1302.0982
1530.0502,896.808
1533.7891,781.875
1545.0056,757.6786
1548.7444,358.4375
1556.2221,231.4063
1561.8304,164.8661
1574.9163,152.7679
1586.1328,158.817
1591.7411,183.0134
1604.827,267.7009
1610.4353,322.1429
1616.0435,431.0268
1623.5212,545.9598
1640.346,449.1741
1649.6931,400.7813
1659.0402,364.4866
1672.1261,328.192
1685.2121,322.1429
1692.6897,346.3393
1698.298,400.7813
1702.0368,467.3214
1705.7757,600.4018
1711.3839,721.3839
1716.9922,606.4509
1722.6004,406.8304
1731.9475,273.75
1737.5558,207.2098
1748.7723,158.817
1774.9442,146.7188
1789.8996,134.6205
1804.8549,92.2768
1823.5491,80.1786
1836.635,49.933
1853.4598,31.7857
1872.154,25.7366
1890.8482,7.5893
1913.2813,7.5893
1933.8449,7.5893
1963.7556,7.5893
1989.9275,7.5893
2012.3605,7.5893
2038.5324,7.5893
2062.8348,13.6384
2085.2679,13.6384
2118.9174,13.6384
2462.8906,1.5402
2507.7567,13.6384
2532.0592,25.7366
2580.6641,31.7857
2627.3996,37.8348
2672.2656,55.9821
2717.1317,74.1295
2758.2589,104.375
2804.9944,134.6205
2892.8571,195.1116
2937.7232,310.0446
2960.1562,497.567
2978.8504,999.6429
2988.1975,1398.8839
2999.4141,1634.7991
3018.1083,1943.3036
3051.7578,2094.5313
3055.4967,2536.1161
3066.7132,3491.875
3081.6685,3842.7232
3100.3627,3558.4152
3111.5792,2499.8214
3134.0123,2209.4643
3147.0982,1531.9643
3160.1842,1041.9866
3180.7478,334.2411
3193.8337,267.7009
3212.5279,267.7009
3234.9609,285.8482
3266.7411,310.0446
3296.6518,328.192
3328.4319,443.125
3358.3426,606.4509
3390.1228,715.3348
3420.0335,745.5804
3463.0301,787.9241
3479.8549,842.3661
3496.6797,914.9554
3513.5045,993.5938
3530.3292,1102.4777
3539.6763,1241.6071
3550.8929,1320.2455
3573.3259,1356.5402
3597.6283,1417.0313
3608.8449,1447.2768
3633.1473,1459.375
3657.4498,1447.2768
3676.144,1332.3438
3692.9688,1217.4107
3700.4464,1102.4777
3709.7935,963.3482
3719.1406,884.7098
3737.8348,721.3839
3756.529,642.7455
3778.9621,509.6652
3793.9174,382.6339
3808.8728,322.1429
3825.6975,207.2098
3840.6529,122.5223
