X,Y
550.00,0.3653
550.50,0.3754
551.00,0.3904
551.50,0.4079
552.00,0.4153
552.50,0.4054
553.00,0.3901
553.50,0.3903
554.00,0.4126
554.50,0.4440
555.00,0.4660
555.50,0.4682
556.00,0.4533
556.50,0.4322
557.00,0.4167
557.50,0.4106
558.00,0.4066
558.50,0.3943
559.00,0.3701
559.50,0.3411
560.00,0.3197
560.50,0.3157
561.00,0.3298
561.50,0.3517
562.00,0.3675
562.50,0.3728
563.00,0.3742
563.50,0.3794
564.00,0.3858
564.50,0.3854
565.00,0.3769
565.50,0.3673
566.00,0.3629
566.50,0.3631
567.00,0.3651
567.50,0.3677
568.00,0.3703
568.50,0.3698
569.00,0.3628
569.50,0.3512
570.00,0.3421
570.50,0.3419
571.00,0.3488
571.50,0.3517
572.00,0.3400
572.50,0.3163
573.00,0.2978
573.50,0.3008
574.00,0.3240
574.50,0.3507
575.00,0.3642
575.50,0.3599
576.00,0.3463
576.50,0.3359
577.00,0.3367
577.50,0.3481
578.00,0.3632
578.50,0.3745
579.00,0.3776
579.50,0.3735
580.00,0.3664
580.50,0.3602
581.00,0.3554
581.50,0.3498
582.00,0.3421
582.50,0.3357
583.00,0.3371
583.50,0.3484
584.00,0.3638
584.50,0.3742
585.00,0.3764
585.50,0.3750
586.00,0.3764
586.50,0.3818
587.00,0.3859
587.50,0.3809
588.00,0.3631
588.50,0.3379
589.00,0.3187
589.50,0.3171
590.00,0.3316
590.50,0.3478
591.00,0.3521
591.50,0.3434
592.00,0.3329
592.50,0.3305
593.00,0.3351
593.50,0.3382
594.00,0.3336
594.50,0.3210
595.00,0.3054
595.50,0.2934
596.00,0.2901
596.50,0.2969
597.00,0.3104
597.50,0.3250
598.00,0.3358
598.50,0.3401
599.00,0.3368
599.50,0.3290
600.00,0.3239
600.50,0.3287
601.00,0.3430
601.50,0.3571
602.00,0.3617
602.50,0.3563
603.00,0.3489
603.50,0.3465
604.00,0.3495
604.50,0.3536
605.00,0.3550
605.50,0.3533
606.00,0.3503
606.50,0.3483
607.00,0.3488
607.50,0.3520
608.00,0.3576
608.50,0.3647
609.00,0.3711
609.50,0.3727
610.00,0.3658
610.50,0.3505
611.00,0.3320
611.50,0.3180
612.00,0.3121
612.50,0.3126
613.00,0.3163
613.50,0.3214
614.00,0.3280
614.50,0.3352
615.00,0.3393
615.50,0.3375
616.00,0.3324
616.50,0.3295
617.00,0.3312
617.50,0.3341
618.00,0.3340
618.50,0.3307
619.00,0.3261
619.50,0.3206
620.00,0.3136
620.50,0.3083
621.00,0.3095
621.50,0.3167
622.00,0.3229
622.50,0.3224
623.00,0.3165
623.50,0.3101
624.00,0.3050
624.50,0.3005
625.00,0.2969
625.50,0.2953
626.00,0.2951
626.50,0.2953
627.00,0.2975
627.50,0.3044
628.00,0.3148
628.50,0.3236
629.00,0.3279
629.50,0.3295
630.00,0.3311
630.50,0.3322
631.00,0.3307
631.50,0.3276
632.00,0.3257
632.50,0.3256
633.00,0.3239
633.50,0.3186
634.00,0.3125
634.50,0.3106
635.00,0.3148
635.50,0.3224
636.00,0.3279
636.50,0.3280
637.00,0.3231
637.50,0.3163
638.00,0.3113
638.50,0.3100
639.00,0.3133
639.50,0.3201
640.00,0.3274
640.50,0.3308
641.00,0.3286
641.50,0.3235
642.00,0.3198
642.50,0.3199
643.00,0.3230
643.50,0.3270
644.00,0.3316
644.50,0.3363
645.00,0.3397
645.50,0.3408
646.00,0.3402
646.50,0.3391
647.00,0.3383
647.50,0.3373
648.00,0.3351
648.50,0.3322
649.00,0.3304
649.50,0.3303
650.00,0.3307
650.50,0.3291
651.00,0.3243
651.50,0.3188
652.00,0.3152
652.50,0.3139
653.00,0.3129
653.50,0.3120
654.00,0.3126
654.50,0.3153
655.00,0.3181
655.50,0.3179
656.00,0.3144
656.50,0.3098
657.00,0.3068
657.50,0.3057
658.00,0.3048
658.50,0.3028
659.00,0.3007
659.50,0.2998
660.00,0.3003
660.50,0.3005
661.00,0.2995
661.50,0.2979
662.00,0.2968
662.50,0.2961
663.00,0.2965
663.50,0.2986
664.00,0.3015
664.50,0.3032
665.00,0.3029
665.50,0.3011
666.00,0.3051
666.50,0.3204
667.00,0.3437
667.50,0.3408
668.00,0.3309
668.50,0.3543
669.00,0.3557
669.50,0.3319
670.00,0.3127
670.50,0.3009
671.00,0.2953
671.50,0.2905
672.00,0.2859
672.50,0.2821
673.00,0.2816
673.50,0.2831
674.00,0.2833
674.50,0.2816
675.00,0.2788
675.50,0.2758
676.00,0.2734
676.50,0.2721
677.00,0.2714
677.50,0.2704
678.00,0.2697
678.50,0.2698
679.00,0.2708
679.50,0.2716
680.00,0.2710
680.50,0.2693
681.00,0.2681
681.50,0.2682
682.00,0.2696
682.50,0.2728
683.00,0.2771
683.50,0.2812
684.00,0.2854
684.50,0.2909
685.00,0.2967
685.50,0.3007
686.00,0.3020
686.50,0.3016
687.00,0.3008
687.50,0.3004
688.00,0.3001
688.50,0.2994
689.00,0.2986
689.50,0.2972
690.00,0.2947
690.50,0.2918
691.00,0.2893
691.50,0.2865
692.00,0.2832
692.50,0.2806
693.00,0.2788
693.50,0.2768
694.00,0.2742
694.50,0.2720
695.00,0.2709
695.50,0.2704
696.00,0.2692
696.50,0.2669
697.00,0.2644
697.50,0.2623
698.00,0.2600
698.50,0.2579
699.00,0.2572
699.50,0.2576
700.00,0.2576
700.50,0.2565
701.00,0.2551
701.50,0.2541
702.00,0.2533
702.50,0.2519
703.00,0.2499
703.50,0.2477
704.00,0.2456
704.50,0.2430
705.00,0.2398
705.50,0.2366
706.00,0.2342
706.50,0.2327
707.00,0.2315
707.50,0.2301
708.00,0.2285
708.50,0.2275
709.00,0.2271
709.50,0.2265
710.00,0.2255
710.50,0.2241
711.00,0.2225
711.50,0.2208
712.00,0.2193
712.50,0.2187
713.00,0.2190
713.50,0.2192
714.00,0.2187
714.50,0.2180
715.00,0.2174
715.50,0.2166
716.00,0.2148
716.50,0.2118
717.00,0.2084
717.50,0.2048
718.00,0.2012
718.50,0.1974
719.00,0.1938
719.50,0.1910
