X,Y
4000.00,-0.0039
3999.50,-0.0040
3999.00,-0.0040
3998.50,-0.0040
3998.00,-0.0039
3997.50,-0.0039
3997.00,-0.0039
3996.50,-0.0039
3996.00,-0.0039
3995.50,-0.0038
3995.00,-0.0039
3994.50,-0.0040
3994.00,-0.0040
3993.50,-0.0040
3993.00,-0.0039
3992.50,-0.0039
3992.00,-0.0038
3991.50,-0.0038
3991.00,-0.0038
3990.50,-0.0038
3990.00,-0.0039
3989.50,-0.0039
3989.00,-0.0039
3988.50,-0.0039
3988.00,-0.0038
3987.50,-0.0038
3987.00,-0.0038
3986.50,-0.0038
3986.00,-0.0039
3985.50,-0.0039
3985.00,-0.0040
3984.50,-0.0040
3984.00,-0.0040
3983.50,-0.0039
3983.00,-0.0039
3982.50,-0.0038
3982.00,-0.0037
3981.50,-0.0038
3981.00,-0.0038
3980.50,-0.0037
3980.00,-0.0037
3979.50,-0.0037
3979.00,-0.0037
3978.50,-0.0037
3978.00,-0.0038
3977.50,-0.0039
3977.00,-0.0040
3976.50,-0.0040
3976.00,-0.0039
3975.50,-0.0038
3975.00,-0.0038
3974.50,-0.0038
3974.00,-0.0038
3973.50,-0.0038
3973.00,-0.0038
3972.50,-0.0038
3972.00,-0.0038
3971.50,-0.0037
3971.00,-0.0037
3970.50,-0.0037
3970.00,-0.0038
3969.50,-0.0038
3969.00,-0.0038
3968.50,-0.0039
3968.00,-0.0040
3967.50,-0.0040
3967.00,-0.0040
3966.50,-0.0040
3966.00,-0.0039
3965.50,-0.0038
3965.00,-0.0038
3964.50,-0.0039
3964.00,-0.0039
3963.50,-0.0039
3963.00,-0.0039
3962.50,-0.0039
3962.00,-0.0039
3961.50,-0.0038
3961.00,-0.0037
3960.50,-0.0037
3960.00,-0.0037
3959.50,-0.0037
3959.00,-0.0039
3958.50,-0.0040
3958.00,-0.0040
3957.50,-0.0039
3957.00,-0.0038
3956.50,-0.0037
3956.00,-0.0037
3955.50,-0.0037
3955.00,-0.0037
3954.50,-0.0038
3954.00,-0.0039
3953.50,-0.0039
3953.00,-0.0040
3952.50,-0.0040
3952.00,-0.0040
3951.50,-0.0039
3951.00,-0.0038
3950.50,-0.0037
3950.00,-0.0037
3949.50,-0.0036
3949.00,-0.0035
3948.50,-0.0034
3948.00,-0.0034
3947.50,-0.0034
3947.00,-0.0034
3946.50,-0.0035
3946.00,-0.0035
3945.50,-0.0036
3945.00,-0.0036
3944.50,-0.0035
3944.00,-0.0034
3943.50,-0.0033
3943.00,-0.0033
3942.50,-0.0034
3942.00,-0.0035
3941.50,-0.0035
3941.00,-0.0035
3940.50,-0.0036
3940.00,-0.0036
3939.50,-0.0036
3939.00,-0.0036
3938.50,-0.0036
3938.00,-0.0036
3937.50,-0.0037
3937.00,-0.0037
3936.50,-0.0037
3936.00,-0.0037
3935.50,-0.0037
3935.00,-0.0037
3934.50,-0.0037
3934.00,-0.0037
3933.50,-0.0036
3933.00,-0.0035
3932.50,-0.0034
3932.00,-0.0034
3931.50,-0.0033
3931.00,-0.0033
3930.50,-0.0033
3930.00,-0.0034
3929.50,-0.0034
3929.00,-0.0035
3928.50,-0.0035
3928.00,-0.0035
3927.50,-0.0035
3927.00,-0.0035
3926.50,-0.0036
3926.00,-0.0036
3925.50,-0.0037
3925.00,-0.0037
3924.50,-0.0036
3924.00,-0.0036
3923.50,-0.0035
3923.00,-0.0034
3922.50,-0.0033
3922.00,-0.0033
3921.50,-0.0033
3921.00,-0.0033
3920.50,-0.0033
3920.00,-0.0033
3919.50,-0.0033
3919.00,-0.0032
3918.50,-0.0032
