X,Y
4000.00,0.0212
3999.50,0.0189
3999.00,0.0183
3998.50,0.0194
3998.00,0.0209
3997.50,0.0212
3997.00,0.0208
3996.50,0.0209
3996.00,0.0216
3995.50,0.0218
3995.00,0.0208
3994.50,0.0194
3994.00,0.0189
3993.50,0.0195
3993.00,0.0205
3992.50,0.0213
3992.00,0.0219
3991.50,0.0223
3991.00,0.0225
3990.50,0.0222
3990.00,0.0214
3989.50,0.0206
3989.00,0.0205
3988.50,0.0209
3988.00,0.0216
3987.50,0.0222
3987.00,0.0223
3986.50,0.0220
3986.00,0.0211
3985.50,0.0199
3985.00,0.0191
3984.50,0.0188
3984.00,0.0193
3983.50,0.0202
3983.00,0.0214
3982.50,0.0227
3982.00,0.0234
3981.50,0.0234
3981.00,0.0232
3980.50,0.0235
3980.00,0.0243
3979.50,0.0249
3979.00,0.0247
3978.50,0.0238
3978.00,0.0221
3977.50,0.0199
3977.00,0.0185
3976.50,0.0190
3976.00,0.0210
3975.50,0.0227
3975.00,0.0230
3974.50,0.0225
3974.00,0.0223
3973.50,0.0223
3973.00,0.0221
3972.50,0.0219
3972.00,0.0224
3971.50,0.0236
3971.00,0.0244
3970.50,0.0241
3970.00,0.0233
3969.50,0.0226
3969.00,0.0220
3968.50,0.0210
3968.00,0.0197
3967.50,0.0187
3967.00,0.0187
3966.50,0.0197
3966.00,0.0211
3965.50,0.0221
3965.00,0.0221
3964.50,0.0214
3964.00,0.0206
3963.50,0.0202
3963.00,0.0201
3962.50,0.0203
3962.00,0.0210
3961.50,0.0225
3961.00,0.0240
3960.50,0.0250
3960.00,0.0248
3959.50,0.0234
3959.00,0.0213
3958.50,0.0194
3958.00,0.0190
3957.50,0.0202
3957.00,0.0222
3956.50,0.0240
3956.00,0.0251
3955.50,0.0251
3955.00,0.0242
3954.50,0.0228
3954.00,0.0215
3953.50,0.0204
3953.00,0.0196
3952.50,0.0191
3952.00,0.0194
3951.50,0.0206
3951.00,0.0222
3950.50,0.0236
3950.00,0.0249
3949.50,0.0263
3949.00,0.0278
3948.50,0.0289
3948.00,0.0294
3947.50,0.0296
3947.00,0.0295
3946.50,0.0287
3946.00,0.0274
3945.50,0.0263
3945.00,0.0262
3944.50,0.0274
3944.00,0.0296
3943.50,0.0310
3943.00,0.0307
3942.50,0.0294
3942.00,0.0283
3941.50,0.0278
3941.00,0.0273
3940.50,0.0267
3940.00,0.0262
3939.50,0.0261
3939.00,0.0261
3938.50,0.0258
3938.00,0.0252
3937.50,0.0245
3937.00,0.0240
3936.50,0.0236
3936.00,0.0236
3935.50,0.0238
3935.00,0.0242
3934.50,0.0244
3934.00,0.0250
3933.50,0.0263
3933.00,0.0280
3932.50,0.0293
3932.00,0.0303
3931.50,0.0314
3931.00,0.0322
3930.50,0.0318
3930.00,0.0305
3929.50,0.0291
3929.00,0.0284
3928.50,0.0281
3928.00,0.0279
3927.50,0.0277
3927.00,0.0273
3926.50,0.0265
3926.00,0.0253
3925.50,0.0246
3925.00,0.0247
3924.50,0.0256
3924.00,0.0268
3923.50,0.0282
3923.00,0.0297
3922.50,0.0308
3922.00,0.0314
3921.50,0.0316
3921.00,0.0318
3920.50,0.0317
3920.00,0.0314
3919.50,0.0316
3919.00,0.0324
3918.50,0.0336
3918.00,0.0351
3917.50,0.0364
3917.00,0.0369
3916.50,0.0364
3916.00,0.0349
3915.50,0.0326
3915.00,0.0298
3914.50,0.0271
3914.00,0.0253
3913.50,0.0248
