X,Y
4000.00,-0.0010
3999.50,-0.0011
3999.00,-0.0012
3998.50,-0.0012
3998.00,-0.0012
3997.50,-0.0012
3997.00,-0.0012
3996.50,-0.0012
3996.00,-0.0012
3995.50,-0.0012
3995.00,-0.0012
3994.50,-0.0012
3994.00,-0.0012
3993.50,-0.0011
3993.00,-0.0011
3992.50,-0.0011
3992.00,-0.0010
3991.50,-0.0010
3991.00,-0.0011
3990.50,-0.0011
3990.00,-0.0011
3989.50,-0.0011
3989.00,-0.0011
3988.50,-0.0011
3988.00,-0.0012
3987.50,-0.0012
3987.00,-0.0011
3986.50,-0.0011
3986.00,-0.0011
3985.50,-0.0011
3985.00,-0.0011
3984.50,-0.0011
3984.00,-0.0011
3983.50,-0.0011
3983.00,-0.0011
3982.50,-0.0011
3982.00,-0.0011
3981.50,-0.0011
3981.00,-0.0011
3980.50,-0.0010
3980.00,-0.0010
3979.50,-0.0010
3979.00,-0.0010
3978.50,-0.0010
3978.00,-0.0011
3977.50,-0.0011
3977.00,-0.0012
3976.50,-0.0012
3976.00,-0.0011
3975.50,-0.0011
3975.00,-0.0011
3974.50,-0.0011
3974.00,-0.0011
3973.50,-0.0011
3973.00,-0.0010
3972.50,-0.0010
3972.00,-0.0010
3971.50,-0.0010
3971.00,-0.0010
3970.50,-0.0010
3970.00,-0.0011
3969.50,-0.0011
3969.00,-0.0011
3968.50,-0.0012
3968.00,-0.0012
3967.50,-0.0013
3967.00,-0.0013
3966.50,-0.0012
3966.00,-0.0011
3965.50,-0.0010
3965.00,-0.0010
3964.50,-0.0011
3964.00,-0.0012
3963.50,-0.0013
3963.00,-0.0012
3962.50,-0.0012
3962.00,-0.0011
3961.50,-0.0010
3961.00,-0.0009
3960.50,-0.0009
3960.00,-0.0010
3959.50,-0.0011
3959.00,-0.0012
3958.50,-0.0012
3958.00,-0.0012
3957.50,-0.0012
3957.00,-0.0012
3956.50,-0.0012
3956.00,-0.0012
3955.50,-0.0012
3955.00,-0.0012
3954.50,-0.0012
3954.00,-0.0011
3953.50,-0.0011
3953.00,-0.0012
3952.50,-0.0013
3952.00,-0.0013
3951.50,-0.0013
3951.00,-0.0012
3950.50,-0.0011
3950.00,-0.0010
3949.50,-0.0009
3949.00,-0.0008
3948.50,-0.0007
3948.00,-0.0006
3947.50,-0.0005
3947.00,-0.0005
3946.50,-0.0006
3946.00,-0.0007
3945.50,-0.0007
3945.00,-0.0007
3944.50,-0.0006
3944.00,-0.0006
3943.50,-0.0006
3943.00,-0.0006
3942.50,-0.0008
3942.00,-0.0008
3941.50,-0.0008
3941.00,-0.0008
3940.50,-0.0008
3940.00,-0.0008
3939.50,-0.0008
3939.00,-0.0008
3938.50,-0.0008
3938.00,-0.0008
3937.50,-0.0009
3937.00,-0.0010
3936.50,-0.0011
3936.00,-0.0011
3935.50,-0.0011
3935.00,-0.0010
3934.50,-0.0008
3934.00,-0.0007
3933.50,-0.0005
3933.00,-0.0004
3932.50,-0.0004
3932.00,-0.0004
3931.50,-0.0004
3931.00,-0.0004
3930.50,-0.0004
3930.00,-0.0005
3929.50,-0.0006
3929.00,-0.0007
3928.50,-0.0007
3928.00,-0.0007
3927.50,-0.0007
3927.00,-0.0007
3926.50,-0.0007
3926.00,-0.0007
3925.50,-0.0007
3925.00,-0.0007
3924.50,-0.0006
3924.00,-0.0006
3923.50,-0.0006
3923.00,-0.0006
3922.50,-0.0006
3922.00,-0.0006
3921.50,-0.0006
3921.00,-0.0005
3920.50,-0.0004
3920.00,-0.0004
3919.50,-0.0005
3919.00,-0.0004
3918.50,-0.0003
3918.00,-0.0002
3917.50,-0.0000
3917.00,-0.0000
3916.50,-0.0002
3916.00,-0.0004
3915.50,-0.0005
3915.00,-0.0005
3914.50,-0.0005
3914.00,-0.0007
3913.50,-0.0008
3913.00,-0.0010
3912.50,-0.0011
3912.00,-0.0011
3911.50,-0.0010
3911.00,-0.0009
3910.50,-0.0009
3910.00,-0.0009
3909.50,-0.0009
3909.00,-0.0009
3908.50,-0.0009
3908.00,-0.0009
3907.50,-0.0008
3907.00,-0.0007
3906.50,-0.0006
3906.00,-0.0006
3905.50,-0.0006
3905.00,-0.0004
3904.50,-0.0001
3904.00,0.0002
3903.50,0.0005
3903.00,0.0008
3902.50,0.0009
3902.00,0.0009
3901.50,0.0009
3901.00,0.0010
3900.50,0.0011
3900.00,0.0012
3899.50,0.0010
3899.00,0.0006
3898.50,0.0003
3898.00,0.0001
3897.50,0.0000
3897.00,0.0000
3896.50,-0.0000
3896.00,-0.0001
3895.50,-0.0003
3895.00,-0.0004
3894.50,-0.0005
3894.00,-0.0005
3893.50,-0.0004
3893.00,-0.0003
3892.50,-0.0002
3892.00,-0.0002
3891.50,-0.0002
3891.00,-0.0002
3890.50,-0.0002
3890.00,-0.0002
3889.50,-0.0002
3889.00,-0.0001
3888.50,-0.0001
3888.00,-0.0002
3887.50,-0.0001
3887.00,0.0000
3886.50,0.0002
3886.00,0.0003
3885.50,0.0004
3885.00,0.0004
3884.50,0.0004
3884.00,0.0003
3883.50,0.0001
3883.00,0.0001
3882.50,0.0001
3882.00,0.0003
3881.50,0.0004
3881.00,0.0005
3880.50,0.0004
3880.00,0.0004
3879.50,0.0004
3879.00,0.0004
3878.50,0.0004
3878.00,0.0003
3877.50,0.0001
3877.00,-0.0000
3876.50,-0.0001
3876.00,-0.0002
3875.50,-0.0001
3875.00,-0.0002
3874.50,-0.0003
3874.00,-0.0003
3873.50,-0.0002
3873.00,0.0000
3872.50,0.0002
3872.00,0.0002
3871.50,0.0002
3871.00,0.0003
3870.50,0.0006
3870.00,0.0008
3869.50,0.0007
3869.00,0.0006
3868.50,0.0004
3868.00,0.0004
3867.50,0.0004
3867.00,0.0004
3866.50,0.0005
3866.00,0.0006
3865.50,0.0006
3865.00,0.0005
3864.50,0.0004
3864.00,0.0003
3863.50,0.0003
3863.00,0.0003
3862.50,0.0004
3862.00,0.0005
3861.50,0.0005
3861.00,0.0004
3860.50,0.0003
3860.00,0.0001
3859.50,0.0001
3859.00,0.0000
3858.50,0.0000
3858.00,0.0000
3857.50,0.0000
3857.00,0.0000
3856.50,0.0001
3856.00,0.0001
3855.50,0.0000
3855.00,0.0001
3854.50,0.0004
3854.00,0.0007
3853.50,0.0011
3853.00,0.0014
3852.50,0.0016
3852.00,0.0017
3851.50,0.0016
3851.00,0.0014
3850.50,0.0011
3850.00,0.0008
3849.50,0.0006
3849.00,0.0003
3848.50,0.0002
3848.00,0.0001
3847.50,0.0001
3847.00,0.0000
3846.50,-0.0000
3846.00,-0.0001
3845.50,-0.0001
3845.00,-0.0001
3844.50,-0.0000
3844.00,-0.0000
3843.50,0.0001
3843.00,0.0001
3842.50,0.0003
3842.00,0.0004
3841.50,0.0005
3841.00,0.0006
3840.50,0.0006
3840.00,0.0007
3839.50,0.0008
3839.00,0.0009
3838.50,0.0011
3838.00,0.0012
3837.50,0.0012
3837.00,0.0012
3836.50,0.0011
3836.00,0.0011
3835.50,0.0012
3835.00,0.0011
3834.50,0.0010
3834.00,0.0010
3833.50,0.0009
3833.00,0.0009
3832.50,0.0009
3832.00,0.0008
3831.50,0.0007
3831.00,0.0006
3830.50,0.0006
3830.00,0.0005
3829.50,0.0005
3829.00,0.0005
3828.50,0.0005
3828.00,0.0005
3827.50,0.0005
3827.00,0.0004
3826.50,0.0003
3826.00,0.0003
3825.50,0.0003
3825.00,0.0003
3824.50,0.0003
3824.00,0.0004
3823.50,0.0004
3823.00,0.0005
3822.50,0.0007
3822.00,0.0008
3821.50,0.0008
3821.00,0.0009
3820.50,0.0010
3820.00,0.0012
3819.50,0.0012
3819.00,0.0012
3818.50,0.0011
3818.00,0.0010
3817.50,0.0010
3817.00,0.0011
3816.50,0.0012
3816.00,0.0011
3815.50,0.0010
3815.00,0.0008
3814.50,0.0007
3814.00,0.0007
3813.50,0.0007
3813.00,0.0007
3812.50,0.0006
3812.00,0.0004
3811.50,0.0002
3811.00,0.0000
3810.50,-0.0000
3810.00,0.0000
3809.50,0.0001
3809.00,0.0002
3808.50,0.0003
3808.00,0.0004
3807.50,0.0006
3807.00,0.0007
3806.50,0.0007
3806.00,0.0008
3805.50,0.0008
3805.00,0.0008
3804.50,0.0009
3804.00,0.0010
3803.50,0.0011
3803.00,0.0010
3802.50,0.0010
3802.00,0.0010
3801.50,0.0011
3801.00,0.0012
3800.50,0.0012
3800.00,0.0012
3799.50,0.0011
3799.00,0.0011
3798.50,0.0012
3798.00,0.0012
3797.50,0.0012
3797.00,0.0012
3796.50,0.0010
3796.00,0.0010
3795.50,0.0009
3795.00,0.0008
3794.50,0.0008
3794.00,0.0007
3793.50,0.0006
3793.00,0.0005
3792.50,0.0004
3792.00,0.0003
3791.50,0.0003
3791.00,0.0002
3790.50,0.0002
3790.00,0.0003
3789.50,0.0003
3789.00,0.0004
3788.50,0.0004
3788.00,0.0004
3787.50,0.0005
3787.00,0.0005
3786.50,0.0005
3786.00,0.0004
3785.50,0.0003
3785.00,0.0003
3784.50,0.0003
3784.00,0.0004
3783.50,0.0005
3783.00,0.0005
3782.50,0.0005
3782.00,0.0006
3781.50,0.0007
3781.00,0.0008
3780.50,0.0008
3780.00,0.0008
3779.50,0.0008
3779.00,0.0008
3778.50,0.0010
3778.00,0.0011
3777.50,0.0012
3777.00,0.0011
3776.50,0.0010
3776.00,0.0009
3775.50,0.0008
3775.00,0.0007
3774.50,0.0007
3774.00,0.0007
3773.50,0.0007
3773.00,0.0006
3772.50,0.0006
3772.00,0.0006
3771.50,0.0007
3771.00,0.0009
3770.50,0.0011
3770.00,0.0011
3769.50,0.0012
3769.00,0.0013
3768.50,0.0013
3768.00,0.0014
3767.50,0.0015
3767.00,0.0016
3766.50,0.0017
3766.00,0.0017
3765.50,0.0016
3765.00,0.0016
3764.50,0.0016
3764.00,0.0016
3763.50,0.0015
3763.00,0.0014
3762.50,0.0013
3762.00,0.0013
3761.50,0.0013
3761.00,0.0013
3760.50,0.0014
3760.00,0.0015
3759.50,0.0016
3759.00,0.0018
3758.50,0.0020
3758.00,0.0022
3757.50,0.0022
3757.00,0.0021
3756.50,0.0019
3756.00,0.0019
3755.50,0.0019
3755.00,0.0020
3754.50,0.0021
3754.00,0.0021
3753.50,0.0022
3753.00,0.0024
3752.50,0.0027
3752.00,0.0031
3751.50,0.0033
3751.00,0.0034
3750.50,0.0035
3750.00,0.0038
3749.50,0.0039
3749.00,0.0038
3748.50,0.0036
3748.00,0.0034
3747.50,0.0033
3747.00,0.0033
3746.50,0.0033
3746.00,0.0033
3745.50,0.0034
3745.00,0.0035
3744.50,0.0035
3744.00,0.0037
3743.50,0.0038
3743.00,0.0038
3742.50,0.0037
3742.00,0.0037
3741.50,0.0036
3741.00,0.0034
3740.50,0.0033
3740.00,0.0032
3739.50,0.0032
3739.00,0.0031
3738.50,0.0031
3738.00,0.0032
3737.50,0.0035
3737.00,0.0040
3736.50,0.0044
3736.00,0.0046
3735.50,0.0047
3735.00,0.0047
3734.50,0.0047
3734.00,0.0048
3733.50,0.0047
3733.00,0.0046
3732.50,0.0045
3732.00,0.0044
3731.50,0.0042
3731.00,0.0040
3730.50,0.0038
3730.00,0.0036
3729.50,0.0035
3729.00,0.0034
3728.50,0.0033
3728.00,0.0033
3727.50,0.0035
3727.00,0.0037
3726.50,0.0038
3726.00,0.0039
3725.50,0.0040
3725.00,0.0040
3724.50,0.0040
3724.00,0.0040
3723.50,0.0040
3723.00,0.0041
3722.50,0.0040
3722.00,0.0039
3721.50,0.0038
3721.00,0.0038
3720.50,0.0038
3720.00,0.0038
3719.50,0.0038
3719.00,0.0038
3718.50,0.0038
3718.00,0.0038
3717.50,0.0037
3717.00,0.0037
3716.50,0.0037
3716.00,0.0036
3715.50,0.0036
3715.00,0.0037
3714.50,0.0038
3714.00,0.0039
3713.50,0.0041
3713.00,0.0042
3712.50,0.0043
3712.00,0.0044
3711.50,0.0046
3711.00,0.0048
3710.50,0.0049
3710.00,0.0050
3709.50,0.0050
3709.00,0.0049
3708.50,0.0048
3708.00,0.0048
3707.50,0.0047
3707.00,0.0046
3706.50,0.0046
3706.00,0.0045
3705.50,0.0045
3705.00,0.0044
3704.50,0.0044
3704.00,0.0044
3703.50,0.0045
3703.00,0.0046
3702.50,0.0047
3702.00,0.0047
3701.50,0.0048
3701.00,0.0048
3700.50,0.0049
3700.00,0.0050
3699.50,0.0050
3699.00,0.0050
3698.50,0.0050
3698.00,0.0051
3697.50,0.0051
3697.00,0.0051
3696.50,0.0051
3696.00,0.0051
3695.50,0.0051
3695.00,0.0051
3694.50,0.0051
3694.00,0.0051
3693.50,0.0052
3693.00,0.0053
3692.50,0.0055
3692.00,0.0058
3691.50,0.0060
3691.00,0.0062
3690.50,0.0064
3690.00,0.0067
3689.50,0.0069
3689.00,0.0070
3688.50,0.0072
3688.00,0.0073
3687.50,0.0073
3687.00,0.0073
3686.50,0.0072
3686.00,0.0072
3685.50,0.0071
3685.00,0.0071
3684.50,0.0071
3684.00,0.0072
3683.50,0.0072
3683.00,0.0072
3682.50,0.0072
3682.00,0.0072
3681.50,0.0073
3681.00,0.0075
3680.50,0.0076
3680.00,0.0077
3679.50,0.0078
3679.00,0.0079
3678.50,0.0081
3678.00,0.0083
3677.50,0.0085
3677.00,0.0087
3676.50,0.0090
3676.00,0.0093
3675.50,0.0094
3675.00,0.0097
3674.50,0.0100
3674.00,0.0102
3673.50,0.0104
3673.00,0.0105
3672.50,0.0106
3672.00,0.0107
3671.50,0.0108
3671.00,0.0109
3670.50,0.0110
3670.00,0.0111
3669.50,0.0113
3669.00,0.0114
3668.50,0.0116
3668.00,0.0116
3667.50,0.0116
3667.00,0.0115
3666.50,0.0114
3666.00,0.0114
3665.50,0.0114
3665.00,0.0114
3664.50,0.0114
3664.00,0.0114
3663.50,0.0114
3663.00,0.0115
3662.50,0.0116
3662.00,0.0117
3661.50,0.0119
3661.00,0.0120
3660.50,0.0123
3660.00,0.0126
3659.50,0.0128
3659.00,0.0131
3658.50,0.0132
3658.00,0.0133
3657.50,0.0134
3657.00,0.0137
3656.50,0.0140
3656.00,0.0144
3655.50,0.0147
3655.00,0.0149
3654.50,0.0151
3654.00,0.0154
3653.50,0.0156
3653.00,0.0159
3652.50,0.0161
3652.00,0.0164
3651.50,0.0166
3651.00,0.0168
3650.50,0.0172
3650.00,0.0178
3649.50,0.0185
3649.00,0.0191
3648.50,0.0196
3648.00,0.0200
3647.50,0.0203
3647.00,0.0204
3646.50,0.0205
3646.00,0.0205
3645.50,0.0205
3645.00,0.0205
3644.50,0.0205
3644.00,0.0205
3643.50,0.0206
3643.00,0.0207
3642.50,0.0208
3642.00,0.0210
3641.50,0.0213
3641.00,0.0215
3640.50,0.0217
3640.00,0.0219
3639.50,0.0221
3639.00,0.0224
3638.50,0.0227
3638.00,0.0231
3637.50,0.0234
3637.00,0.0237
3636.50,0.0240
3636.00,0.0243
3635.50,0.0247
3635.00,0.0250
3634.50,0.0253
3634.00,0.0257
3633.50,0.0261
3633.00,0.0266
3632.50,0.0270
3632.00,0.0274
3631.50,0.0277
3631.00,0.0281
3630.50,0.0285
3630.00,0.0290
3629.50,0.0295
3629.00,0.0302
3628.50,0.0311
3628.00,0.0320
3627.50,0.0326
3627.00,0.0330
3626.50,0.0334
3626.00,0.0336
3625.50,0.0337
3625.00,0.0338
3624.50,0.0340
3624.00,0.0343
3623.50,0.0345
3623.00,0.0348
3622.50,0.0351
3622.00,0.0355
3621.50,0.0358
3621.00,0.0362
3620.50,0.0366
3620.00,0.0370
3619.50,0.0376
3619.00,0.0383
3618.50,0.0391
3618.00,0.0399
3617.50,0.0406
3617.00,0.0412
3616.50,0.0417
3616.00,0.0421
3615.50,0.0424
3615.00,0.0428
3614.50,0.0432
3614.00,0.0437
3613.50,0.0442
3613.00,0.0447
3612.50,0.0453
3612.00,0.0460
3611.50,0.0466
3611.00,0.0471
3610.50,0.0475
3610.00,0.0480
3609.50,0.0485
3609.00,0.0492
3608.50,0.0499
3608.00,0.0505
3607.50,0.0510
3607.00,0.0515
3606.50,0.0521
3606.00,0.0527
3605.50,0.0532
3605.00,0.0537
3604.50,0.0541
3604.00,0.0545
3603.50,0.0549
3603.00,0.0554
3602.50,0.0559
3602.00,0.0564
3601.50,0.0571
3601.00,0.0578
3600.50,0.0585
3600.00,0.0591
3599.50,0.0597
3599.00,0.0602
3598.50,0.0608
3598.00,0.0615
3597.50,0.0622
3597.00,0.0628
3596.50,0.0634
3596.00,0.0640
3595.50,0.0647
3595.00,0.0654
3594.50,0.0663
3594.00,0.0671
3593.50,0.0679
3593.00,0.0686
3592.50,0.0692
3592.00,0.0698
3591.50,0.0705
3591.00,0.0711
3590.50,0.0716
3590.00,0.0721
3589.50,0.0727
3589.00,0.0734
3588.50,0.0742
3588.00,0.0750
3587.50,0.0759
3587.00,0.0769
3586.50,0.0780
3586.00,0.0791
3585.50,0.0800
3585.00,0.0808
3584.50,0.0814
3584.00,0.0818
3583.50,0.0822
3583.00,0.0826
3582.50,0.0831
3582.00,0.0837
3581.50,0.0843
3581.00,0.0849
3580.50,0.0854
3580.00,0.0859
3579.50,0.0865
3579.00,0.0872
3578.50,0.0880
3578.00,0.0887
3577.50,0.0895
3577.00,0.0902
3576.50,0.0910
3576.00,0.0917
3575.50,0.0923
3575.00,0.0929
3574.50,0.0936
3574.00,0.0944
3573.50,0.0952
3573.00,0.0961
3572.50,0.0968
3572.00,0.0974
3571.50,0.0981
3571.00,0.0987
3570.50,0.0994
3570.00,0.1002
3569.50,0.1010
3569.00,0.1017
3568.50,0.1025
3568.00,0.1034
3567.50,0.1044
3567.00,0.1054
3566.50,0.1064
3566.00,0.1074
3565.50,0.1083
3565.00,0.1091
3564.50,0.1098
3564.00,0.1103
3563.50,0.1107
3563.00,0.1112
3562.50,0.1117
3562.00,0.1123
3561.50,0.1129
3561.00,0.1135
3560.50,0.1142
3560.00,0.1148
3559.50,0.1155
3559.00,0.1162
3558.50,0.1168
3558.00,0.1174
3557.50,0.1180
3557.00,0.1187
3556.50,0.1194
3556.00,0.1201
3555.50,0.1208
3555.00,0.1214
3554.50,0.1221
3554.00,0.1228
3553.50,0.1235
3553.00,0.1242
3552.50,0.1250
3552.00,0.1259
3551.50,0.1268
3551.00,0.1278
3550.50,0.1285
3550.00,0.1292
3549.50,0.1298
3549.00,0.1305
3548.50,0.1313
3548.00,0.1320
3547.50,0.1327
3547.00,0.1335
3546.50,0.1343
3546.00,0.1352
3545.50,0.1361
3545.00,0.1371
3544.50,0.1381
3544.00,0.1389
3543.50,0.1396
3543.00,0.1404
3542.50,0.1411
3542.00,0.1418
3541.50,0.1425
3541.00,0.1431
3540.50,0.1437
3540.00,0.1445
3539.50,0.1452
3539.00,0.1460
3538.50,0.1467
3538.00,0.1475
3537.50,0.1483
3537.00,0.1492
3536.50,0.1501
3536.00,0.1511
3535.50,0.1521
3535.00,0.1531
3534.50,0.1540
3534.00,0.1548
3533.50,0.1555
3533.00,0.1562
3532.50,0.1570
3532.00,0.1579
3531.50,0.1588
3531.00,0.1597
3530.50,0.1606
3530.00,0.1615
3529.50,0.1623
3529.00,0.1632
3528.50,0.1642
3528.00,0.1653
3527.50,0.1664
3527.00,0.1676
3526.50,0.1687
3526.00,0.1698
