X,Y
4000.00,0.0165
3999.50,0.0164
3999.00,0.0163
3998.50,0.0162
3998.00,0.0162
3997.50,0.0163
3997.00,0.0163
3996.50,0.0164
3996.00,0.0164
3995.50,0.0163
3995.00,0.0162
3994.50,0.0162
3994.00,0.0164
3993.50,0.0165
3993.00,0.0166
3992.50,0.0167
3992.00,0.0167
3991.50,0.0167
3991.00,0.0167
3990.50,0.0166
3990.00,0.0166
3989.50,0.0166
3989.00,0.0166
3988.50,0.0165
3988.00,0.0164
3987.50,0.0164
3987.00,0.0165
3986.50,0.0165
3986.00,0.0166
3985.50,0.0166
3985.00,0.0166
3984.50,0.0165
3984.00,0.0165
3983.50,0.0165
3983.00,0.0166
3982.50,0.0167
3982.00,0.0166
3981.50,0.0166
3981.00,0.0167
3980.50,0.0168
3980.00,0.0169
3979.50,0.0169
3979.00,0.0169
3978.50,0.0168
3978.00,0.0167
3977.50,0.0165
3977.00,0.0164
3976.50,0.0164
3976.00,0.0165
3975.50,0.0166
3975.00,0.0166
3974.50,0.0166
3974.00,0.0167
3973.50,0.0167
3973.00,0.0167
3972.50,0.0168
3972.00,0.0168
3971.50,0.0169
3971.00,0.0169
3970.50,0.0168
3970.00,0.0167
3969.50,0.0166
3969.00,0.0165
3968.50,0.0164
3968.00,0.0163
3967.50,0.0162
3967.00,0.0162
3966.50,0.0163
3966.00,0.0166
3965.50,0.0168
3965.00,0.0167
3964.50,0.0165
3964.00,0.0163
3963.50,0.0162
3963.00,0.0162
3962.50,0.0164
3962.00,0.0167
3961.50,0.0169
3961.00,0.0170
3960.50,0.0170
3960.00,0.0168
3959.50,0.0166
3959.00,0.0164
3958.50,0.0163
3958.00,0.0163
3957.50,0.0163
3957.00,0.0163
3956.50,0.0163
3956.00,0.0163
3955.50,0.0163
3955.00,0.0164
3954.50,0.0165
3954.00,0.0165
3953.50,0.0165
3953.00,0.0164
3952.50,0.0161
3952.00,0.0160
3951.50,0.0161
3951.00,0.0164
3950.50,0.0167
3950.00,0.0169
3949.50,0.0172
3949.00,0.0174
3948.50,0.0177
3948.00,0.0179
3947.50,0.0180
3947.00,0.0180
3946.50,0.0179
3946.00,0.0177
3945.50,0.0175
3945.00,0.0176
3944.50,0.0177
3944.00,0.0178
3943.50,0.0179
3943.00,0.0177
3942.50,0.0174
3942.00,0.0172
3941.50,0.0172
3941.00,0.0172
3940.50,0.0172
3940.00,0.0172
3939.50,0.0172
3939.00,0.0173
3938.50,0.0173
3938.00,0.0172
3937.50,0.0170
3937.00,0.0168
3936.50,0.0166
3936.00,0.0165
3935.50,0.0166
3935.00,0.0168
3934.50,0.0171
3934.00,0.0176
3933.50,0.0180
3933.00,0.0182
3932.50,0.0182
3932.00,0.0181
3931.50,0.0182
3931.00,0.0183
3930.50,0.0182
3930.00,0.0180
3929.50,0.0177
3929.00,0.0175
3928.50,0.0175
3928.00,0.0175
3927.50,0.0175
3927.00,0.0175
3926.50,0.0175
3926.00,0.0174
3925.50,0.0174
3925.00,0.0175
3924.50,0.0176
3924.00,0.0177
3923.50,0.0177
3923.00,0.0177
3922.50,0.0177
3922.00,0.0177
3921.50,0.0178
3921.00,0.0179
3920.50,0.0181
3920.00,0.0181
3919.50,0.0180
3919.00,0.0181
3918.50,0.0183
3918.00,0.0188
3917.50,0.0191
3917.00,0.0191
3916.50,0.0187
3916.00,0.0183
3915.50,0.0180
3915.00,0.0179
3914.50,0.0178
3914.00,0.0175
3913.50,0.0171
3913.00,0.0167
3912.50,0.0165
3912.00,0.0165
3911.50,0.0166
3911.00,0.0168
3910.50,0.0169
3910.00,0.0169
3909.50,0.0169
3909.00,0.0170
3908.50,0.0170
3908.00,0.0170
3907.50,0.0172
3907.00,0.0174
3906.50,0.0176
3906.00,0.0176
3905.50,0.0177
3905.00,0.0181
3904.50,0.0188
3904.00,0.0196
3903.50,0.0204
3903.00,0.0209
3902.50,0.0212
3902.00,0.0212
3901.50,0.0212
3901.00,0.0214
3900.50,0.0217
3900.00,0.0219
3899.50,0.0214
3899.00,0.0205
3898.50,0.0197
3898.00,0.0192
3897.50,0.0190
3897.00,0.0191
3896.50,0.0190
3896.00,0.0187
3895.50,0.0183
3895.00,0.0180
3894.50,0.0178
3894.00,0.0178
3893.50,0.0180
3893.00,0.0183
3892.50,0.0185
3892.00,0.0186
3891.50,0.0185
3891.00,0.0184
3890.50,0.0184
3890.00,0.0185
3889.50,0.0186
3889.00,0.0186
3888.50,0.0187
3888.00,0.0186
3887.50,0.0187
3887.00,0.0190
3886.50,0.0195
3886.00,0.0198
3885.50,0.0199
3885.00,0.0200
3884.50,0.0199
3884.00,0.0196
3883.50,0.0193
3883.00,0.0192
3882.50,0.0193
3882.00,0.0196
3881.50,0.0200
3881.00,0.0201
3880.50,0.0199
3880.00,0.0198
3879.50,0.0199
3879.00,0.0199
3878.50,0.0198
3878.00,0.0196
3877.50,0.0193
3877.00,0.0189
3876.50,0.0186
3876.00,0.0185
3875.50,0.0186
3875.00,0.0185
3874.50,0.0182
3874.00,0.0181
3873.50,0.0185
3873.00,0.0190
3872.50,0.0193
