X,Y
4000.00,0.0065
3999.50,0.0062
3999.00,0.0061
3998.50,0.0062
3998.00,0.0064
3997.50,0.0065
3997.00,0.0065
3996.50,0.0065
3996.00,0.0065
3995.50,0.0065
3995.00,0.0065
3994.50,0.0065
3994.00,0.0065
3993.50,0.0066
3993.00,0.0067
3992.50,0.0067
3992.00,0.0067
3991.50,0.0067
3991.00,0.0067
3990.50,0.0067
3990.00,0.0066
3989.50,0.0065
3989.00,0.0065
3988.50,0.0064
3988.00,0.0064
3987.50,0.0063
3987.00,0.0063
3986.50,0.0063
3986.00,0.0063
3985.50,0.0064
3985.00,0.0064
3984.50,0.0063
3984.00,0.0062
3983.50,0.0062
3983.00,0.0063
3982.50,0.0064
3982.00,0.0065
3981.50,0.0066
3981.00,0.0065
3980.50,0.0065
3980.00,0.0066
3979.50,0.0066
3979.00,0.0066
3978.50,0.0064
3978.00,0.0063
3977.50,0.0063
3977.00,0.0063
3976.50,0.0065
3976.00,0.0066
3975.50,0.0067
3975.00,0.0067
3974.50,0.0067
3974.00,0.0067
3973.50,0.0067
3973.00,0.0067
3972.50,0.0067
3972.00,0.0067
3971.50,0.0067
3971.00,0.0067
3970.50,0.0067
3970.00,0.0067
3969.50,0.0068
3969.00,0.0068
3968.50,0.0068
3968.00,0.0067
3967.50,0.0066
3967.00,0.0065
3966.50,0.0065
3966.00,0.0066
3965.50,0.0067
3965.00,0.0067
3964.50,0.0066
3964.00,0.0065
3963.50,0.0064
3963.00,0.0064
3962.50,0.0065
3962.00,0.0066
3961.50,0.0067
3961.00,0.0068
3960.50,0.0068
3960.00,0.0067
3959.50,0.0066
3959.00,0.0065
3958.50,0.0065
3958.00,0.0064
3957.50,0.0064
3957.00,0.0064
3956.50,0.0064
3956.00,0.0065
3955.50,0.0066
3955.00,0.0067
3954.50,0.0067
3954.00,0.0067
3953.50,0.0066
3953.00,0.0065
3952.50,0.0065
3952.00,0.0065
3951.50,0.0066
3951.00,0.0066
3950.50,0.0067
3950.00,0.0068
3949.50,0.0069
3949.00,0.0071
3948.50,0.0071
3948.00,0.0071
3947.50,0.0070
3947.00,0.0070
3946.50,0.0070
3946.00,0.0070
3945.50,0.0070
3945.00,0.0069
3944.50,0.0069
3944.00,0.0069
3943.50,0.0069
3943.00,0.0068
3942.50,0.0068
3942.00,0.0068
3941.50,0.0069
3941.00,0.0069
3940.50,0.0068
3940.00,0.0068
3939.50,0.0068
3939.00,0.0068
3938.50,0.0068
3938.00,0.0068
3937.50,0.0067
3937.00,0.0067
3936.50,0.0067
3936.00,0.0067
3935.50,0.0068
3935.00,0.0068
3934.50,0.0068
3934.00,0.0069
3933.50,0.0070
3933.00,0.0071
3932.50,0.0071
3932.00,0.0070
3931.50,0.0069
3931.00,0.0068
3930.50,0.0067
3930.00,0.0066
3929.50,0.0066
3929.00,0.0066
3928.50,0.0066
3928.00,0.0065
3927.50,0.0064
3927.00,0.0064
3926.50,0.0066
3926.00,0.0068
3925.50,0.0068
3925.00,0.0069
3924.50,0.0069
3924.00,0.0070
3923.50,0.0070
3923.00,0.0069
3922.50,0.0069
3922.00,0.0069
3921.50,0.0070
3921.00,0.0071
3920.50,0.0072
3920.00,0.0072
3919.50,0.0071
3919.00,0.0072
3918.50,0.0072
3918.00,0.0074
3917.50,0.0075
3917.00,0.0076
3916.50,0.0076
3916.00,0.0075
3915.50,0.0074
3915.00,0.0071
3914.50,0.0069
3914.00,0.0068
3913.50,0.0067
3913.00,0.0067
3912.50,0.0067
3912.00,0.0067
3911.50,0.0067
3911.00,0.0067
3910.50,0.0067
3910.00,0.0067
3909.50,0.0068
3909.00,0.0067
3908.50,0.0066
3908.00,0.0065
3907.50,0.0065
3907.00,0.0065
3906.50,0.0065
3906.00,0.0064
3905.50,0.0064
3905.00,0.0066
3904.50,0.0066
3904.00,0.0068
3903.50,0.0071
3903.00,0.0074
3902.50,0.0075
3902.00,0.0072
3901.50,0.0071
3901.00,0.0073
3900.50,0.0077
3900.00,0.0077
3899.50,0.0074
3899.00,0.0069
3898.50,0.0066
3898.00,0.0065
3897.50,0.0064
3897.00,0.0064
3896.50,0.0065
3896.00,0.0066
3895.50,0.0066
3895.00,0.0065
3894.50,0.0064
3894.00,0.0063
3893.50,0.0062
3893.00,0.0063
3892.50,0.0063
3892.00,0.0063
3891.50,0.0063
3891.00,0.0063
3890.50,0.0065
3890.00,0.0067
3889.50,0.0068
3889.00,0.0067
3888.50,0.0065
3888.00,0.0064
3887.50,0.0065
3887.00,0.0067
3886.50,0.0069
3886.00,0.0070
3885.50,0.0071
3885.00,0.0072
3884.50,0.0071
3884.00,0.0069
3883.50,0.0066
3883.00,0.0064
3882.50,0.0064
3882.00,0.0066
3881.50,0.0067
3881.00,0.0067
3880.50,0.0066
3880.00,0.0066
3879.50,0.0069
3879.00,0.0070
3878.50,0.0070
3878.00,0.0069
3877.50,0.0068
3877.00,0.0067
3876.50,0.0066
3876.00,0.0066
3875.50,0.0067
3875.00,0.0067
3874.50,0.0065
3874.00,0.0064
3873.50,0.0064
3873.00,0.0065
3872.50,0.0066
3872.00,0.0065
3871.50,0.0065
3871.00,0.0068
3870.50,0.0071
3870.00,0.0073
3869.50,0.0072
3869.00,0.0072
3868.50,0.0071
3868.00,0.0071
3867.50,0.0071
3867.00,0.0072
3866.50,0.0073
3866.00,0.0073
3865.50,0.0072
