X,Y
4000.00,0.0114
3999.50,0.0114
3999.00,0.0115
3998.50,0.0116
3998.00,0.0116
3997.50,0.0115
3997.00,0.0113
3996.50,0.0111
3996.00,0.0111
3995.50,0.0111
3995.00,0.0112
3994.50,0.0114
3994.00,0.0115
3993.50,0.0116
3993.00,0.0116
3992.50,0.0115
3992.00,0.0115
3991.50,0.0118
3991.00,0.0121
3990.50,0.0121
3990.00,0.0120
3989.50,0.0117
3989.00,0.0116
3988.50,0.0117
3988.00,0.0117
3987.50,0.0117
3987.00,0.0116
3986.50,0.0115
3986.00,0.0113
3985.50,0.0111
3985.00,0.0110
3984.50,0.0109
3984.00,0.0110
3983.50,0.0114
3983.00,0.0118
3982.50,0.0120
3982.00,0.0118
3981.50,0.0115
3981.00,0.0114
3980.50,0.0115
3980.00,0.0118
3979.50,0.0120
3979.00,0.0121
3978.50,0.0120
3978.00,0.0119
3977.50,0.0117
3977.00,0.0116
3976.50,0.0115
3976.00,0.0115
3975.50,0.0116
3975.00,0.0117
3974.50,0.0118
3974.00,0.0119
3973.50,0.0117
3973.00,0.0114
3972.50,0.0112
3972.00,0.0113
3971.50,0.0117
3971.00,0.0121
3970.50,0.0122
3970.00,0.0119
3969.50,0.0117
3969.00,0.0116
3968.50,0.0116
3968.00,0.0115
3967.50,0.0114
3967.00,0.0113
3966.50,0.0112
3966.00,0.0114
3965.50,0.0117
3965.00,0.0120
3964.50,0.0120
3964.00,0.0119
3963.50,0.0118
3963.00,0.0119
3962.50,0.0120
3962.00,0.0121
3961.50,0.0123
3961.00,0.0124
3960.50,0.0122
3960.00,0.0119
3959.50,0.0116
3959.00,0.0115
3958.50,0.0116
3958.00,0.0116
3957.50,0.0118
3957.00,0.0122
3956.50,0.0128
3956.00,0.0131
3955.50,0.0130
3955.00,0.0125
3954.50,0.0122
3954.00,0.0122
3953.50,0.0125
3953.00,0.0127
3952.50,0.0126
3952.00,0.0124
3951.50,0.0125
3951.00,0.0127
3950.50,0.0130
3950.00,0.0132
3949.50,0.0136
3949.00,0.0141
3948.50,0.0144
3948.00,0.0145
3947.50,0.0145
3947.00,0.0145
3946.50,0.0145
3946.00,0.0144
3945.50,0.0141
3945.00,0.0138
3944.50,0.0136
3944.00,0.0138
3943.50,0.0141
3943.00,0.0143
3942.50,0.0143
3942.00,0.0142
3941.50,0.0141
3941.00,0.0139
3940.50,0.0138
3940.00,0.0137
3939.50,0.0137
3939.00,0.0139
3938.50,0.0139
3938.00,0.0137
3937.50,0.0134
3937.00,0.0130
3936.50,0.0128
3936.00,0.0127
3935.50,0.0127
3935.00,0.0129
3934.50,0.0133
3934.00,0.0138
3933.50,0.0143
3933.00,0.0145
3932.50,0.0144
3932.00,0.0141
3931.50,0.0139
3931.00,0.0139
3930.50,0.0137
3930.00,0.0133
3929.50,0.0130
3929.00,0.0129
3928.50,0.0128
3928.00,0.0127
3927.50,0.0127
3927.00,0.0128
3926.50,0.0130
3926.00,0.0132
3925.50,0.0131
3925.00,0.0130
3924.50,0.0128
3924.00,0.0129
3923.50,0.0133
3923.00,0.0136
3922.50,0.0138
3922.00,0.0137
3921.50,0.0136
3921.00,0.0135
3920.50,0.0134
3920.00,0.0132
3919.50,0.0132
3919.00,0.0135
3918.50,0.0139
3918.00,0.0144
3917.50,0.0147
3917.00,0.0145
3916.50,0.0142
3916.00,0.0139
3915.50,0.0137
3915.00,0.0135
3914.50,0.0132
3914.00,0.0129
3913.50,0.0127
3913.00,0.0125
3912.50,0.0124
3912.00,0.0121
3911.50,0.0119
3911.00,0.0119
3910.50,0.0119
3910.00,0.0120
3909.50,0.0120
3909.00,0.0119
3908.50,0.0117
3908.00,0.0116
