X,Y
4000.00,0.0120
3999.50,0.0119
3999.00,0.0118
3998.50,0.0118
3998.00,0.0119
3997.50,0.0120
3997.00,0.0120
3996.50,0.0120
3996.00,0.0121
3995.50,0.0122
3995.00,0.0120
3994.50,0.0119
3994.00,0.0118
3993.50,0.0119
3993.00,0.0119
3992.50,0.0119
3992.00,0.0119
3991.50,0.0120
3991.00,0.0121
3990.50,0.0122
3990.00,0.0122
3989.50,0.0121
3989.00,0.0119
3988.50,0.0118
3988.00,0.0117
3987.50,0.0118
3987.00,0.0119
3986.50,0.0120
3986.00,0.0121
3985.50,0.0121
3985.00,0.0119
3984.50,0.0117
3984.00,0.0116
3983.50,0.0117
3983.00,0.0118
3982.50,0.0121
3982.00,0.0123
3981.50,0.0123
3981.00,0.0122
3980.50,0.0121
3980.00,0.0120
3979.50,0.0120
3979.00,0.0119
3978.50,0.0119
3978.00,0.0119
3977.50,0.0119
3977.00,0.0119
3976.50,0.0119
3976.00,0.0119
3975.50,0.0119
3975.00,0.0120
3974.50,0.0122
3974.00,0.0124
3973.50,0.0124
3973.00,0.0123
3972.50,0.0122
3972.00,0.0122
3971.50,0.0124
3971.00,0.0125
3970.50,0.0125
3970.00,0.0124
3969.50,0.0123
3969.00,0.0122
3968.50,0.0121
3968.00,0.0121
3967.50,0.0120
3967.00,0.0120
3966.50,0.0121
3966.00,0.0122
3965.50,0.0123
3965.00,0.0123
3964.50,0.0123
3964.00,0.0122
3963.50,0.0121
3963.00,0.0121
3962.50,0.0122
3962.00,0.0123
3961.50,0.0123
3961.00,0.0122
3960.50,0.0121
3960.00,0.0120
3959.50,0.0120
3959.00,0.0121
3958.50,0.0121
3958.00,0.0120
3957.50,0.0120
3957.00,0.0121
3956.50,0.0123
3956.00,0.0125
3955.50,0.0125
3955.00,0.0123
3954.50,0.0122
3954.00,0.0121
3953.50,0.0122
3953.00,0.0121
3952.50,0.0120
3952.00,0.0119
3951.50,0.0118
3951.00,0.0120
3950.50,0.0122
3950.00,0.0125
3949.50,0.0127
3949.00,0.0129
3948.50,0.0130
3948.00,0.0130
3947.50,0.0128
3947.00,0.0127
3946.50,0.0126
3946.00,0.0125
3945.50,0.0124
3945.00,0.0124
3944.50,0.0123
3944.00,0.0124
3943.50,0.0124
3943.00,0.0125
3942.50,0.0125
3942.00,0.0125
3941.50,0.0125
3941.00,0.0124
3940.50,0.0123
3940.00,0.0121
3939.50,0.0121
3939.00,0.0122
3938.50,0.0123
3938.00,0.0124
3937.50,0.0125
3937.00,0.0124
3936.50,0.0123
3936.00,0.0122
3935.50,0.0122
3935.00,0.0123
3934.50,0.0124
3934.00,0.0124
3933.50,0.0125
3933.00,0.0126
3932.50,0.0127
3932.00,0.0128
3931.50,0.0129
3931.00,0.0128
3930.50,0.0126
3930.00,0.0125
3929.50,0.0124
3929.00,0.0124
3928.50,0.0124
3928.00,0.0123
3927.50,0.0123
3927.00,0.0122
3926.50,0.0121
3926.00,0.0121
3925.50,0.0121
3925.00,0.0123
3924.50,0.0125
3924.00,0.0127
3923.50,0.0128
3923.00,0.0128
3922.50,0.0127
3922.00,0.0126
3921.50,0.0125
3921.00,0.0126
3920.50,0.0128
3920.00,0.0129
3919.50,0.0129
3919.00,0.0128
3918.50,0.0128
3918.00,0.0129
3917.50,0.0130
3917.00,0.0131
3916.50,0.0131
3916.00,0.0129
3915.50,0.0128
3915.00,0.0127
3914.50,0.0125
3914.00,0.0124
3913.50,0.0123
3913.00,0.0122
3912.50,0.0120
3912.00,0.0119
3911.50,0.0118
3911.00,0.0119
3910.50,0.0120
3910.00,0.0121
3909.50,0.0122
3909.00,0.0121
3908.50,0.0121
3908.00,0.0120
3907.50,0.0120
3907.00,0.0121
3906.50,0.0123
3906.00,0.0124
3905.50,0.0126
3905.00,0.0127
3904.50,0.0129
3904.00,0.0130
3903.50,0.0130
3903.00,0.0130
3902.50,0.0129
3902.00,0.0129
3901.50,0.0129
3901.00,0.0129
3900.50,0.0127
3900.00,0.0126
3899.50,0.0124
3899.00,0.0123
3898.50,0.0121
3898.00,0.0119
3897.50,0.0119
3897.00,0.0120
3896.50,0.0122
3896.00,0.0123
3895.50,0.0122
3895.00,0.0121
3894.50,0.0121
3894.00,0.0121
3893.50,0.0120
3893.00,0.0120
3892.50,0.0119
3892.00,0.0119
3891.50,0.0120
3891.00,0.0119
3890.50,0.0118
3890.00,0.0118
3889.50,0.0118
3889.00,0.0119
3888.50,0.0119
3888.00,0.0121
3887.50,0.0123
3887.00,0.0125
3886.50,0.0126
3886.00,0.0128
3885.50,0.0129
3885.00,0.0127
3884.50,0.0124
3884.00,0.0121
3883.50,0.0119
3883.00,0.0118
3882.50,0.0118
3882.00,0.0118
3881.50,0.0117
3881.00,0.0118
3880.50,0.0122
3880.00,0.0125
3879.50,0.0126
3879.00,0.0125
3878.50,0.0123
3878.00,0.0123
3877.50,0.0122
3877.00,0.0121
3876.50,0.0121
3876.00,0.0121
3875.50,0.0121
3875.00,0.0120
3874.50,0.0119
3874.00,0.0121
3873.50,0.0123
3873.00,0.0124
3872.50,0.0123
3872.00,0.0122
3871.50,0.0121
3871.00,0.0121
3870.50,0.0123
3870.00,0.0125
3869.50,0.0126
3869.00,0.0124
3868.50,0.0121
3868.00,0.0121
3867.50,0.0123
3867.00,0.0125
3866.50,0.0127
3866.00,0.0127
3865.50,0.0124
3865.00,0.0121
3864.50,0.0120
3864.00,0.0121
3863.50,0.0123
3863.00,0.0125
3862.50,0.0127
3862.00,0.0127
3861.50,0.0128
3861.00,0.0126
3860.50,0.0124
3860.00,0.0123
3859.50,0.0123
3859.00,0.0125
3858.50,0.0125
3858.00,0.0126
3857.50,0.0125
3857.00,0.0125
3856.50,0.0124
3856.00,0.0122
3855.50,0.0119
3855.00,0.0117
3854.50,0.0122
3854.00,0.0130
3853.50,0.0131
3853.00,0.0128
3852.50,0.0125
3852.00,0.0124
3851.50,0.0124
3851.00,0.0124
3850.50,0.0124
3850.00,0.0123
3849.50,0.0122
3849.00,0.0123
3848.50,0.0125
3848.00,0.0125
3847.50,0.0125
3847.00,0.0126
3846.50,0.0127
3846.00,0.0128
3845.50,0.0129
3845.00,0.0130
3844.50,0.0129
3844.00,0.0129
3843.50,0.0128
3843.00,0.0127
3842.50,0.0125
3842.00,0.0124
3841.50,0.0122
3841.00,0.0122
3840.50,0.0122
3840.00,0.0123
3839.50,0.0123
3839.00,0.0122
3838.50,0.0122
3838.00,0.0124
3837.50,0.0126
3837.00,0.0125
3836.50,0.0124
3836.00,0.0123
3835.50,0.0122
3835.00,0.0123
3834.50,0.0124
3834.00,0.0124
3833.50,0.0124
3833.00,0.0123
3832.50,0.0123
3832.00,0.0125
3831.50,0.0126
3831.00,0.0126
3830.50,0.0125
3830.00,0.0125
3829.50,0.0124
3829.00,0.0124
3828.50,0.0124
3828.00,0.0124
3827.50,0.0124
3827.00,0.0124
3826.50,0.0124
3826.00,0.0124
3825.50,0.0124
3825.00,0.0124
3824.50,0.0124
3824.00,0.0125
3823.50,0.0126
3823.00,0.0125
3822.50,0.0122
3822.00,0.0121
3821.50,0.0122
3821.00,0.0125
3820.50,0.0127
3820.00,0.0126
3819.50,0.0125
3819.00,0.0124
3818.50,0.0124
3818.00,0.0124
3817.50,0.0123
3817.00,0.0121
3816.50,0.0121
3816.00,0.0121
3815.50,0.0122
3815.00,0.0122
3814.50,0.0123
3814.00,0.0125
3813.50,0.0126
3813.00,0.0126
3812.50,0.0125
3812.00,0.0123
3811.50,0.0121
3811.00,0.0120
3810.50,0.0121
3810.00,0.0122
3809.50,0.0124
3809.00,0.0125
3808.50,0.0126
3808.00,0.0127
3807.50,0.0127
3807.00,0.0128
3806.50,0.0128
3806.00,0.0127
3805.50,0.0129
3805.00,0.0130
3804.50,0.0131
3804.00,0.0132
3803.50,0.0131
3803.00,0.0131
3802.50,0.0131
3802.00,0.0131
3801.50,0.0130
3801.00,0.0129
3800.50,0.0127
3800.00,0.0126
3799.50,0.0126
3799.00,0.0127
3798.50,0.0128
3798.00,0.0130
3797.50,0.0131
3797.00,0.0131
3796.50,0.0130
3796.00,0.0129
3795.50,0.0129
3795.00,0.0129
3794.50,0.0129
3794.00,0.0129
3793.50,0.0128
3793.00,0.0126
3792.50,0.0125
3792.00,0.0126
3791.50,0.0127
3791.00,0.0129
3790.50,0.0129
3790.00,0.0130
3789.50,0.0131
3789.00,0.0131
3788.50,0.0131
3788.00,0.0131
3787.50,0.0132
3787.00,0.0133
3786.50,0.0133
3786.00,0.0131
3785.50,0.0130
3785.00,0.0130
3784.50,0.0130
3784.00,0.0130
3783.50,0.0131
3783.00,0.0131
3782.50,0.0133
3782.00,0.0134
3781.50,0.0135
3781.00,0.0135
3780.50,0.0132
3780.00,0.0130
3779.50,0.0130
3779.00,0.0130
3778.50,0.0130
3778.00,0.0131
3777.50,0.0132
3777.00,0.0134
3776.50,0.0133
3776.00,0.0132
3775.50,0.0130
3775.00,0.0129
3774.50,0.0128
3774.00,0.0127
3773.50,0.0126
3773.00,0.0127
3772.50,0.0128
3772.00,0.0130
3771.50,0.0131
3771.00,0.0132
3770.50,0.0132
3770.00,0.0133
3769.50,0.0133
3769.00,0.0133
3768.50,0.0133
3768.00,0.0133
3767.50,0.0133
3767.00,0.0133
3766.50,0.0132
3766.00,0.0132
3765.50,0.0132
3765.00,0.0133
3764.50,0.0133
3764.00,0.0131
3763.50,0.0129
3763.00,0.0127
3762.50,0.0126
3762.00,0.0126
3761.50,0.0126
3761.00,0.0126
3760.50,0.0125
3760.00,0.0125
3759.50,0.0128
3759.00,0.0130
3758.50,0.0132
3758.00,0.0132
3757.50,0.0131
3757.00,0.0131
3756.50,0.0131
3756.00,0.0131
3755.50,0.0130
3755.00,0.0128
3754.50,0.0128
3754.00,0.0128
3753.50,0.0128
3753.00,0.0128
3752.50,0.0130
3752.00,0.0133
3751.50,0.0135
3751.00,0.0136
3750.50,0.0137
3750.00,0.0136
3749.50,0.0135
3749.00,0.0130
3748.50,0.0127
3748.00,0.0127
3747.50,0.0128
3747.00,0.0131
3746.50,0.0133
3746.00,0.0132
3745.50,0.0129
3745.00,0.0129
3744.50,0.0131
3744.00,0.0131
3743.50,0.0130
3743.00,0.0131
3742.50,0.0133
3742.00,0.0134
3741.50,0.0133
3741.00,0.0131
3740.50,0.0130
3740.00,0.0130
3739.50,0.0130
3739.00,0.0131
3738.50,0.0135
3738.00,0.0139
3737.50,0.0143
3737.00,0.0145
3736.50,0.0145
3736.00,0.0144
3735.50,0.0143
3735.00,0.0143
3734.50,0.0143
3734.00,0.0143
3733.50,0.0141
3733.00,0.0139
3732.50,0.0137
3732.00,0.0136
3731.50,0.0135
3731.00,0.0134
3730.50,0.0133
3730.00,0.0134
3729.50,0.0136
3729.00,0.0137
3728.50,0.0137
3728.00,0.0137
3727.50,0.0138
3727.00,0.0140
3726.50,0.0142
3726.00,0.0143
3725.50,0.0143
3725.00,0.0143
3724.50,0.0142
3724.00,0.0140
3723.50,0.0139
3723.00,0.0138
3722.50,0.0138
3722.00,0.0138
3721.50,0.0137
3721.00,0.0136
3720.50,0.0135
3720.00,0.0135
3719.50,0.0136
3719.00,0.0137
3718.50,0.0136
3718.00,0.0134
3717.50,0.0133
3717.00,0.0133
3716.50,0.0134
3716.00,0.0134
3715.50,0.0134
3715.00,0.0135
3714.50,0.0135
3714.00,0.0134
3713.50,0.0133
3713.00,0.0132
3712.50,0.0131
3712.00,0.0130
3711.50,0.0130
3711.00,0.0131
3710.50,0.0131
3710.00,0.0131
3709.50,0.0131
3709.00,0.0131
3708.50,0.0130
3708.00,0.0129
3707.50,0.0129
3707.00,0.0129
3706.50,0.0129
3706.00,0.0127
3705.50,0.0126
3705.00,0.0127
3704.50,0.0127
3704.00,0.0128
3703.50,0.0128
3703.00,0.0127
3702.50,0.0128
3702.00,0.0129
3701.50,0.0129
3701.00,0.0128
3700.50,0.0128
3700.00,0.0128
3699.50,0.0128
3699.00,0.0128
3698.50,0.0128
3698.00,0.0127
3697.50,0.0127
3697.00,0.0127
3696.50,0.0128
3696.00,0.0127
3695.50,0.0126
3695.00,0.0124
3694.50,0.0123
3694.00,0.0123
3693.50,0.0124
3693.00,0.0125
3692.50,0.0126
3692.00,0.0128
3691.50,0.0129
3691.00,0.0130
3690.50,0.0131
3690.00,0.0131
3689.50,0.0129
3689.00,0.0128
3688.50,0.0130
3688.00,0.0129
3687.50,0.0125
3687.00,0.0123
3686.50,0.0123
3686.00,0.0124
3685.50,0.0125
3685.00,0.0125
3684.50,0.0126
3684.00,0.0126
3683.50,0.0126
3683.00,0.0126
3682.50,0.0126
3682.00,0.0127
3681.50,0.0127
3681.00,0.0127
3680.50,0.0128
3680.00,0.0128
3679.50,0.0129
3679.00,0.0129
3678.50,0.0130
3678.00,0.0131
3677.50,0.0131
3677.00,0.0131
3676.50,0.0130
3676.00,0.0130
3675.50,0.0132
3675.00,0.0134
3674.50,0.0135
3674.00,0.0136
3673.50,0.0136
3673.00,0.0138
3672.50,0.0139
3672.00,0.0140
3671.50,0.0140
3671.00,0.0140
3670.50,0.0140
3670.00,0.0138
3669.50,0.0138
3669.00,0.0139
3668.50,0.0141
3668.00,0.0142
3667.50,0.0142
3667.00,0.0142
3666.50,0.0141
3666.00,0.0140
3665.50,0.0140
3665.00,0.0141
3664.50,0.0143
3664.00,0.0144
3663.50,0.0144
3663.00,0.0145
3662.50,0.0145
3662.00,0.0145
3661.50,0.0146
3661.00,0.0147
3660.50,0.0148
3660.00,0.0149
3659.50,0.0150
3659.00,0.0152
3658.50,0.0154
3658.00,0.0154
3657.50,0.0154
3657.00,0.0154
3656.50,0.0156
3656.00,0.0158
3655.50,0.0159
3655.00,0.0159
3654.50,0.0160
3654.00,0.0162
3653.50,0.0163
3653.00,0.0165
3652.50,0.0165
3652.00,0.0165
3651.50,0.0165
3651.00,0.0167
3650.50,0.0170
3650.00,0.0174
3649.50,0.0177
3649.00,0.0179
3648.50,0.0180
3648.00,0.0180
3647.50,0.0181
3647.00,0.0182
3646.50,0.0182
3646.00,0.0181
3645.50,0.0180
3645.00,0.0180
3644.50,0.0180
3644.00,0.0181
3643.50,0.0182
3643.00,0.0184
3642.50,0.0186
3642.00,0.0187
3641.50,0.0189
3641.00,0.0190
3640.50,0.0191
3640.00,0.0191
3639.50,0.0191
3639.00,0.0191
3638.50,0.0192
3638.00,0.0194
3637.50,0.0197
3637.00,0.0199
3636.50,0.0200
3636.00,0.0202
3635.50,0.0204
3635.00,0.0206
3634.50,0.0208
3634.00,0.0210
3633.50,0.0212
3633.00,0.0213
3632.50,0.0214
3632.00,0.0216
3631.50,0.0218
3631.00,0.0219
