X,Y
4000.00,0.0080
3999.50,0.0080
3999.00,0.0080
3998.50,0.0079
3998.00,0.0078
3997.50,0.0078
3997.00,0.0077
3996.50,0.0077
3996.00,0.0077
3995.50,0.0077
3995.00,0.0077
3994.50,0.0078
3994.00,0.0078
3993.50,0.0079
3993.00,0.0080
3992.50,0.0079
3992.00,0.0079
3991.50,0.0078
3991.00,0.0078
3990.50,0.0078
3990.00,0.0078
3989.50,0.0078
3989.00,0.0077
3988.50,0.0077
3988.00,0.0077
3987.50,0.0076
3987.00,0.0076
3986.50,0.0076
3986.00,0.0077
3985.50,0.0077
3985.00,0.0077
3984.50,0.0077
3984.00,0.0076
3983.50,0.0076
3983.00,0.0077
3982.50,0.0078
3982.00,0.0079
3981.50,0.0078
3981.00,0.0078
3980.50,0.0078
3980.00,0.0078
3979.50,0.0079
3979.00,0.0079
3978.50,0.0079
3978.00,0.0078
3977.50,0.0077
3977.00,0.0076
3976.50,0.0076
3976.00,0.0077
3975.50,0.0077
3975.00,0.0078
3974.50,0.0078
3974.00,0.0079
3973.50,0.0079
3973.00,0.0079
3972.50,0.0079
3972.00,0.0078
3971.50,0.0078
3971.00,0.0078
3970.50,0.0078
3970.00,0.0077
3969.50,0.0077
3969.00,0.0077
3968.50,0.0078
3968.00,0.0077
3967.50,0.0077
3967.00,0.0077
3966.50,0.0077
3966.00,0.0078
3965.50,0.0078
3965.00,0.0078
3964.50,0.0077
3964.00,0.0077
3963.50,0.0077
3963.00,0.0077
3962.50,0.0077
3962.00,0.0077
3961.50,0.0078
3961.00,0.0078
3960.50,0.0078
3960.00,0.0078
3959.50,0.0078
3959.00,0.0078
3958.50,0.0077
3958.00,0.0076
3957.50,0.0076
3957.00,0.0076
3956.50,0.0077
3956.00,0.0077
3955.50,0.0077
3955.00,0.0077
3954.50,0.0076
3954.00,0.0076
3953.50,0.0076
3953.00,0.0076
3952.50,0.0077
3952.00,0.0077
3951.50,0.0076
3951.00,0.0076
3950.50,0.0076
3950.00,0.0077
3949.50,0.0078
3949.00,0.0079
3948.50,0.0079
3948.00,0.0079
3947.50,0.0079
3947.00,0.0079
3946.50,0.0079
3946.00,0.0078
3945.50,0.0078
3945.00,0.0078
3944.50,0.0078
3944.00,0.0077
3943.50,0.0077
3943.00,0.0077
3942.50,0.0077
3942.00,0.0077
3941.50,0.0077
3941.00,0.0077
3940.50,0.0077
3940.00,0.0077
3939.50,0.0077
3939.00,0.0077
3938.50,0.0077
3938.00,0.0077
3937.50,0.0077
3937.00,0.0076
3936.50,0.0076
3936.00,0.0076
3935.50,0.0076
3935.00,0.0077
3934.50,0.0077
3934.00,0.0078
3933.50,0.0078
3933.00,0.0078
3932.50,0.0078
3932.00,0.0077
3931.50,0.0076
3931.00,0.0076
3930.50,0.0076
3930.00,0.0077
3929.50,0.0077
3929.00,0.0077
3928.50,0.0077
3928.00,0.0076
3927.50,0.0076
3927.00,0.0077
3926.50,0.0077
3926.00,0.0077
3925.50,0.0077
3925.00,0.0077
3924.50,0.0077
3924.00,0.0077
3923.50,0.0078
3923.00,0.0078
3922.50,0.0078
3922.00,0.0077
3921.50,0.0077
3921.00,0.0077
3920.50,0.0078
3920.00,0.0078
3919.50,0.0078
3919.00,0.0077
3918.50,0.0077
3918.00,0.0078
3917.50,0.0079
3917.00,0.0080
3916.50,0.0079
3916.00,0.0078
3915.50,0.0078
3915.00,0.0077
3914.50,0.0077
3914.00,0.0077
3913.50,0.0077
3913.00,0.0077
3912.50,0.0077
3912.00,0.0077
3911.50,0.0077
3911.00,0.0077
3910.50,0.0077
3910.00,0.0077
3909.50,0.0077
3909.00,0.0076
3908.50,0.0075
3908.00,0.0075
3907.50,0.0075
3907.00,0.0075
3906.50,0.0076
3906.00,0.0076
3905.50,0.0076
3905.00,0.0075
3904.50,0.0075
3904.00,0.0075
3903.50,0.0075
3903.00,0.0076
3902.50,0.0077
3902.00,0.0077
3901.50,0.0077
3901.00,0.0077
3900.50,0.0077
3900.00,0.0077
3899.50,0.0077
3899.00,0.0077
3898.50,0.0076
3898.00,0.0076
3897.50,0.0076
3897.00,0.0076
3896.50,0.0077
3896.00,0.0077
3895.50,0.0076
3895.00,0.0075
3894.50,0.0075
3894.00,0.0075
3893.50,0.0076
3893.00,0.0075
3892.50,0.0075
3892.00,0.0075
3891.50,0.0074
3891.00,0.0073
3890.50,0.0073
3890.00,0.0075
3889.50,0.0076
3889.00,0.0077
3888.50,0.0077
3888.00,0.0077
3887.50,0.0076
3887.00,0.0075
3886.50,0.0075
3886.00,0.0076
3885.50,0.0076
3885.00,0.0076
3884.50,0.0077
3884.00,0.0077
3883.50,0.0077
3883.00,0.0076
3882.50,0.0075
3882.00,0.0075
3881.50,0.0075
3881.00,0.0076
3880.50,0.0077
3880.00,0.0077
3879.50,0.0077
3879.00,0.0077
3878.50,0.0077
3878.00,0.0077
3877.50,0.0077
3877.00,0.0076
3876.50,0.0075
3876.00,0.0074
3875.50,0.0074
3875.00,0.0074
3874.50,0.0075
3874.00,0.0075
3873.50,0.0075
3873.00,0.0075
3872.50,0.0074
3872.00,0.0074
3871.50,0.0073
3871.00,0.0072
3870.50,0.0073
3870.00,0.0075
3869.50,0.0076
3869.00,0.0076
3868.50,0.0076
3868.00,0.0076
3867.50,0.0077
3867.00,0.0077
3866.50,0.0077
3866.00,0.0076
3865.50,0.0076
3865.00,0.0075
3864.50,0.0074
3864.00,0.0074
3863.50,0.0075
3863.00,0.0075
3862.50,0.0076
3862.00,0.0076
3861.50,0.0076
3861.00,0.0075
3860.50,0.0075
3860.00,0.0075
3859.50,0.0075
3859.00,0.0075
3858.50,0.0075
3858.00,0.0076
3857.50,0.0076
3857.00,0.0076
3856.50,0.0074
3856.00,0.0072
3855.50,0.0070
3855.00,0.0070
3854.50,0.0070
3854.00,0.0073
3853.50,0.0074
3853.00,0.0075
3852.50,0.0077
3852.00,0.0078
3851.50,0.0077
3851.00,0.0078
3850.50,0.0078
3850.00,0.0078
3849.50,0.0078
3849.00,0.0078
3848.50,0.0077
3848.00,0.0077
3847.50,0.0077
3847.00,0.0077
3846.50,0.0077
3846.00,0.0076
3845.50,0.0076
3845.00,0.0075
3844.50,0.0075
3844.00,0.0076
3843.50,0.0076
3843.00,0.0075
3842.50,0.0074
3842.00,0.0074
3841.50,0.0075
3841.00,0.0075
3840.50,0.0074
3840.00,0.0073
3839.50,0.0073
3839.00,0.0073
3838.50,0.0075
3838.00,0.0076
3837.50,0.0076
3837.00,0.0074
3836.50,0.0074
3836.00,0.0075
3835.50,0.0076
3835.00,0.0077
3834.50,0.0077
3834.00,0.0076
3833.50,0.0076
3833.00,0.0076
3832.50,0.0077
3832.00,0.0077
3831.50,0.0077
3831.00,0.0076
3830.50,0.0076
3830.00,0.0076
3829.50,0.0076
3829.00,0.0076
3828.50,0.0076
3828.00,0.0077
3827.50,0.0077
3827.00,0.0077
3826.50,0.0077
3826.00,0.0076
3825.50,0.0075
3825.00,0.0076
3824.50,0.0076
3824.00,0.0076
3823.50,0.0075
3823.00,0.0074
3822.50,0.0073
3822.00,0.0074
3821.50,0.0075
3821.00,0.0077
3820.50,0.0077
3820.00,0.0077
3819.50,0.0077
3819.00,0.0076
3818.50,0.0076
3818.00,0.0075
3817.50,0.0074
3817.00,0.0075
3816.50,0.0075
3816.00,0.0076
3815.50,0.0075
3815.00,0.0074
3814.50,0.0074
3814.00,0.0075
3813.50,0.0076
3813.00,0.0076
3812.50,0.0077
3812.00,0.0076
3811.50,0.0076
3811.00,0.0075
3810.50,0.0075
3810.00,0.0075
3809.50,0.0075
3809.00,0.0075
3808.50,0.0075
3808.00,0.0075
3807.50,0.0075
3807.00,0.0075
3806.50,0.0075
3806.00,0.0075
3805.50,0.0076
3805.00,0.0077
3804.50,0.0078
3804.00,0.0078
3803.50,0.0078
3803.00,0.0078
3802.50,0.0077
3802.00,0.0076
3801.50,0.0075
3801.00,0.0075
3800.50,0.0074
3800.00,0.0075
3799.50,0.0076
3799.00,0.0076
3798.50,0.0076
3798.00,0.0076
3797.50,0.0076
3797.00,0.0077
3796.50,0.0077
3796.00,0.0077
3795.50,0.0077
3795.00,0.0077
3794.50,0.0076
3794.00,0.0076
3793.50,0.0075
3793.00,0.0075
3792.50,0.0076
3792.00,0.0076
3791.50,0.0076
3791.00,0.0076
3790.50,0.0077
3790.00,0.0077
3789.50,0.0078
3789.00,0.0078
3788.50,0.0077
3788.00,0.0077
3787.50,0.0077
3787.00,0.0077
3786.50,0.0077
3786.00,0.0077
3785.50,0.0077
3785.00,0.0077
3784.50,0.0077
3784.00,0.0077
3783.50,0.0077
3783.00,0.0077
3782.50,0.0077
3782.00,0.0077
3781.50,0.0077
3781.00,0.0077
3780.50,0.0077
3780.00,0.0077
3779.50,0.0077
3779.00,0.0077
3778.50,0.0077
3778.00,0.0078
3777.50,0.0078
3777.00,0.0079
3776.50,0.0078
3776.00,0.0078
3775.50,0.0078
3775.00,0.0077
3774.50,0.0077
3774.00,0.0077
3773.50,0.0077
3773.00,0.0076
3772.50,0.0076
3772.00,0.0075
3771.50,0.0075
3771.00,0.0076
3770.50,0.0077
3770.00,0.0078
3769.50,0.0077
3769.00,0.0077
3768.50,0.0078
3768.00,0.0078
3767.50,0.0078
3767.00,0.0078
3766.50,0.0078
3766.00,0.0077
3765.50,0.0077
3765.00,0.0078
3764.50,0.0078
3764.00,0.0078
3763.50,0.0078
3763.00,0.0077
3762.50,0.0076
3762.00,0.0076
3761.50,0.0075
3761.00,0.0075
3760.50,0.0075
3760.00,0.0075
3759.50,0.0076
3759.00,0.0077
3758.50,0.0077
3758.00,0.0077
3757.50,0.0077
3757.00,0.0077
3756.50,0.0078
3756.00,0.0078
3755.50,0.0077
3755.00,0.0076
3754.50,0.0075
3754.00,0.0074
3753.50,0.0073
3753.00,0.0074
3752.50,0.0076
3752.00,0.0077
3751.50,0.0076
3751.00,0.0076
3750.50,0.0076
3750.00,0.0077
3749.50,0.0077
3749.00,0.0077
3748.50,0.0076
3748.00,0.0077
3747.50,0.0078
3747.00,0.0078
3746.50,0.0076
3746.00,0.0074
3745.50,0.0072
3745.00,0.0072
3744.50,0.0073
3744.00,0.0074
3743.50,0.0074
3743.00,0.0075
3742.50,0.0076
3742.00,0.0077
3741.50,0.0078
3741.00,0.0078
3740.50,0.0077
3740.00,0.0076
