X,Y
4000.00,0.0080
3999.50,0.0080
3999.00,0.0080
3998.50,0.0079
3998.00,0.0078
3997.50,0.0076
3997.00,0.0075
3996.50,0.0075
3996.00,0.0076
3995.50,0.0077
3995.00,0.0078
3994.50,0.0079
3994.00,0.0081
3993.50,0.0084
3993.00,0.0086
3992.50,0.0086
3992.00,0.0084
3991.50,0.0082
3991.00,0.0082
3990.50,0.0082
3990.00,0.0082
3989.50,0.0081
3989.00,0.0079
3988.50,0.0079
3988.00,0.0078
3987.50,0.0077
3987.00,0.0076
3986.50,0.0076
3986.00,0.0078
3985.50,0.0080
3985.00,0.0081
3984.50,0.0079
3984.00,0.0077
3983.50,0.0077
3983.00,0.0080
3982.50,0.0084
3982.00,0.0086
3981.50,0.0085
3981.00,0.0083
3980.50,0.0083
3980.00,0.0084
3979.50,0.0086
3979.00,0.0087
3978.50,0.0086
3978.00,0.0083
3977.50,0.0080
3977.00,0.0078
3976.50,0.0078
3976.00,0.0079
3975.50,0.0081
3975.00,0.0083
3974.50,0.0085
3974.00,0.0087
3973.50,0.0088
3973.00,0.0088
3972.50,0.0087
3972.00,0.0086
3971.50,0.0086
3971.00,0.0085
3970.50,0.0083
3970.00,0.0082
3969.50,0.0082
3969.00,0.0083
3968.50,0.0084
3968.00,0.0083
3967.50,0.0081
3967.00,0.0080
3966.50,0.0082
3966.00,0.0085
3965.50,0.0086
3965.00,0.0085
3964.50,0.0082
3964.00,0.0081
3963.50,0.0081
3963.00,0.0081
3962.50,0.0082
3962.00,0.0084
3961.50,0.0085
3961.00,0.0085
3960.50,0.0085
3960.00,0.0085
3959.50,0.0085
3959.00,0.0085
3958.50,0.0082
3958.00,0.0080
3957.50,0.0079
3957.00,0.0080
3956.50,0.0083
3956.00,0.0084
3955.50,0.0084
3955.00,0.0081
3954.50,0.0079
3954.00,0.0078
3953.50,0.0079
3953.00,0.0081
3952.50,0.0082
3952.00,0.0082
3951.50,0.0081
3951.00,0.0081
3950.50,0.0081
3950.00,0.0083
3949.50,0.0086
3949.00,0.0090
3948.50,0.0091
3948.00,0.0092
3947.50,0.0092
3947.00,0.0092
3946.50,0.0091
3946.00,0.0089
3945.50,0.0088
3945.00,0.0087
3944.50,0.0086
3944.00,0.0085
3943.50,0.0085
3943.00,0.0084
3942.50,0.0084
3942.00,0.0084
3941.50,0.0084
3941.00,0.0084
3940.50,0.0085
3940.00,0.0085
3939.50,0.0086
3939.00,0.0086
3938.50,0.0087
3938.00,0.0086
3937.50,0.0084
3937.00,0.0082
3936.50,0.0081
3936.00,0.0082
3935.50,0.0083
3935.00,0.0085
3934.50,0.0087
3934.00,0.0088
3933.50,0.0089
3933.00,0.0089
3932.50,0.0088
3932.00,0.0086
3931.50,0.0084
3931.00,0.0083
3930.50,0.0084
3930.00,0.0086
3929.50,0.0087
3929.00,0.0086
3928.50,0.0084
3928.00,0.0084
3927.50,0.0084
3927.00,0.0085
3926.50,0.0086
3926.00,0.0085
3925.50,0.0085
3925.00,0.0086
3924.50,0.0087
3924.00,0.0088
3923.50,0.0090
3923.00,0.0091
3922.50,0.0090
3922.00,0.0088
3921.50,0.0086
3921.00,0.0086
3920.50,0.0089
3920.00,0.0091
3919.50,0.0091
3919.00,0.0088
3918.50,0.0088
3918.00,0.0090
3917.50,0.0095
3917.00,0.0097
3916.50,0.0096
3916.00,0.0093
3915.50,0.0090
3915.00,0.0088
3914.50,0.0087
3914.00,0.0086
3913.50,0.0086
3913.00,0.0087
3912.50,0.0087
3912.00,0.0088
3911.50,0.0088
3911.00,0.0088
3910.50,0.0087
3910.00,0.0087
3909.50,0.0087
3909.00,0.0085
3908.50,0.0083
3908.00,0.0081
3907.50,0.0081
3907.00,0.0083
3906.50,0.0085
3906.00,0.0085
3905.50,0.0084
3905.00,0.0083
3904.50,0.0082
3904.00,0.0082
3903.50,0.0083
3903.00,0.0085
3902.50,0.0088
3902.00,0.0090
3901.50,0.0090
3901.00,0.0089
3900.50,0.0089
3900.00,0.0090
3899.50,0.0091
3899.00,0.0090
3898.50,0.0088
3898.00,0.0085
3897.50,0.0085
3897.00,0.0087
3896.50,0.0089
3896.00,0.0088
3895.50,0.0086
3895.00,0.0084
3894.50,0.0084
3894.00,0.0084
3893.50,0.0085
3893.00,0.0085
3892.50,0.0084
3892.00,0.0082
3891.50,0.0079
3891.00,0.0076
3890.50,0.0077
3890.00,0.0082
3889.50,0.0087
3889.00,0.0090
3888.50,0.0091
3888.00,0.0089
3887.50,0.0087
3887.00,0.0085
3886.50,0.0084
3886.00,0.0086
3885.50,0.0087
3885.00,0.0088
3884.50,0.0089
3884.00,0.0091
3883.50,0.0089
3883.00,0.0086
3882.50,0.0084
3882.00,0.0083
3881.50,0.0084
3881.00,0.0087
3880.50,0.0091
3880.00,0.0093
3879.50,0.0092
3879.00,0.0092
3878.50,0.0091
3878.00,0.0091
3877.50,0.0090
3877.00,0.0088
3876.50,0.0085
3876.00,0.0082
3875.50,0.0080
3875.00,0.0081
3874.50,0.0083
3874.00,0.0085
3873.50,0.0084
3873.00,0.0084
3872.50,0.0083
3872.00,0.0081
3871.50,0.0078
3871.00,0.0076
3870.50,0.0079
3870.00,0.0085
3869.50,0.0090
3869.00,0.0090
3868.50,0.0090
3868.00,0.0091
3867.50,0.0092
3867.00,0.0092
3866.50,0.0092
3866.00,0.0091
3865.50,0.0088
3865.00,0.0086
3864.50,0.0083
3864.00,0.0082
3863.50,0.0084
3863.00,0.0087
3862.50,0.0089
3862.00,0.0090
3861.50,0.0090
3861.00,0.0088
3860.50,0.0087
3860.00,0.0087
3859.50,0.0087
3859.00,0.0087
3858.50,0.0089
3858.00,0.0090
3857.50,0.0091
3857.00,0.0089
3856.50,0.0084
3856.00,0.0077
3855.50,0.0071
3855.00,0.0067
3854.50,0.0071
3854.00,0.0078
3853.50,0.0084
3853.00,0.0089
3852.50,0.0094
3852.00,0.0097
3851.50,0.0096
3851.00,0.0096
3850.50,0.0098
3850.00,0.0099
3849.50,0.0098
3849.00,0.0097
3848.50,0.0096
3848.00,0.0096
3847.50,0.0095
3847.00,0.0095
3846.50,0.0094
3846.00,0.0092
3845.50,0.0090
3845.00,0.0088
3844.50,0.0089
3844.00,0.0091
3843.50,0.0091
3843.00,0.0088
3842.50,0.0085
3842.00,0.0085
3841.50,0.0086
3841.00,0.0087
3840.50,0.0085
3840.00,0.0082
3839.50,0.0079
3839.00,0.0081
3838.50,0.0086
3838.00,0.0091
3837.50,0.0090
3837.00,0.0086
3836.50,0.0084
3836.00,0.0087
3835.50,0.0090
3835.00,0.0093
3834.50,0.0093
3834.00,0.0092
3833.50,0.0092
3833.00,0.0093
3832.50,0.0095
3832.00,0.0096
3831.50,0.0095
3831.00,0.0092
3830.50,0.0090
3830.00,0.0090
3829.50,0.0090
3829.00,0.0091
3828.50,0.0092
3828.00,0.0094
3827.50,0.0096
3827.00,0.0096
3826.50,0.0094
3826.00,0.0091
3825.50,0.0090
3825.00,0.0090
3824.50,0.0091
3824.00,0.0091
3823.50,0.0088
3823.00,0.0084
3822.50,0.0082
3822.00,0.0083
3821.50,0.0089
3821.00,0.0094
3820.50,0.0095
3820.00,0.0094
3819.50,0.0094
3819.00,0.0093
3818.50,0.0091
3818.00,0.0088
3817.50,0.0086
3817.00,0.0087
3816.50,0.0090
3816.00,0.0091
3815.50,0.0087
3815.00,0.0084
3814.50,0.0085
3814.00,0.0088
3813.50,0.0091
3813.00,0.0093
3812.50,0.0094
3812.00,0.0093
3811.50,0.0091
3811.00,0.0089
3810.50,0.0088
3810.00,0.0088
3809.50,0.0089
3809.00,0.0089
3808.50,0.0088
3808.00,0.0088
3807.50,0.0089
3807.00,0.0089
3806.50,0.0089
3806.00,0.0090
3805.50,0.0093
3805.00,0.0097
3804.50,0.0099
3804.00,0.0100
3803.50,0.0100
3803.00,0.0098
3802.50,0.0095
3802.00,0.0093
3801.50,0.0090
3801.00,0.0087
3800.50,0.0085
3800.00,0.0088
3799.50,0.0092
3799.00,0.0094
3798.50,0.0092
3798.00,0.0091
3797.50,0.0092
3797.00,0.0095
3796.50,0.0096
3796.00,0.0096
3795.50,0.0095
3795.00,0.0094
3794.50,0.0093
3794.00,0.0091
3793.50,0.0090
3793.00,0.0090
3792.50,0.0091
3792.00,0.0093
3791.50,0.0093
3791.00,0.0094
3790.50,0.0095
3790.00,0.0097
3789.50,0.0098
3789.00,0.0098
3788.50,0.0097
3788.00,0.0096
3787.50,0.0096
3787.00,0.0097
3786.50,0.0097
3786.00,0.0097
3785.50,0.0097
3785.00,0.0097
3784.50,0.0098
3784.00,0.0097
3783.50,0.0096
3783.00,0.0096
3782.50,0.0096
3782.00,0.0096
3781.50,0.0096
3781.00,0.0095
3780.50,0.0094
3780.00,0.0095
3779.50,0.0095
3779.00,0.0095
3778.50,0.0096
3778.00,0.0098
3777.50,0.0101
3777.00,0.0103
3776.50,0.0101
3776.00,0.0099
3775.50,0.0098
3775.00,0.0097
3774.50,0.0096
3774.00,0.0095
3773.50,0.0095
3773.00,0.0093
3772.50,0.0092
3772.00,0.0090
3771.50,0.0090
3771.00,0.0093
3770.50,0.0096
3770.00,0.0098
3769.50,0.0098
3769.00,0.0098
3768.50,0.0099
3768.00,0.0100
3767.50,0.0101
3767.00,0.0100
3766.50,0.0099
3766.00,0.0098
3765.50,0.0098
3765.00,0.0098
3764.50,0.0100
3764.00,0.0101
3763.50,0.0100
3763.00,0.0098
3762.50,0.0094
3762.00,0.0091
3761.50,0.0089
3761.00,0.0088
3760.50,0.0089
3760.00,0.0091
3759.50,0.0093
3759.00,0.0095
3758.50,0.0096
3758.00,0.0096
3757.50,0.0096
3757.00,0.0097
3756.50,0.0099
3756.00,0.0099
3755.50,0.0097
3755.00,0.0095
3754.50,0.0090
3754.00,0.0086
3753.50,0.0083
3753.00,0.0086
3752.50,0.0092
3752.00,0.0097
3751.50,0.0095
3751.00,0.0093
3750.50,0.0095
3750.00,0.0097
3749.50,0.0097
3749.00,0.0095
3748.50,0.0094
3748.00,0.0097
3747.50,0.0099
3747.00,0.0099
3746.50,0.0094
3746.00,0.0087
3745.50,0.0080
3745.00,0.0079
3744.50,0.0084
3744.00,0.0085
3743.50,0.0084
3743.00,0.0089
3742.50,0.0094
3742.00,0.0098
3741.50,0.0101
3741.00,0.0101
3740.50,0.0098
3740.00,0.0095
