X,Y
        0.6250000000   ,     1.2718182579  
        1.7500000000   ,     1.3778654944  
        2.8750000000   ,     1.5115332892  
        4.0000000000   ,     1.6684553571  
        5.1250000000   ,     1.8588738325  
        6.2500000000   ,     2.0843949457  
        7.3750000000   ,     2.3484302561  
        8.5000000000   ,     2.6586810540  
        9.6250000000   ,     2.9933994607  
       10.7500000000   ,     3.2595662928  
       11.8750000000   ,     3.3547652737  
       13.0000000000   ,     3.3073953003  
       14.1250000000   ,     3.2384570112  
       15.2500000000   ,     3.2185019968  
       16.3750000000   ,     3.2449623130  
       17.5000000000   ,     3.3010765064  
       18.6250000000   ,     3.3955990101  
       19.7500000000   ,     3.5469263862  
       20.8750000000   ,     3.7653010888  
       22.0000000000   ,     4.0560943316  
       23.1250000000   ,     4.4264990511  
       24.2500000000   ,     4.8890017775  
       25.3750000000   ,     5.4630308939  
       26.5000000000   ,     6.1752838096  
       27.6250000000   ,     7.0559246877  
       28.7500000000   ,     8.1244201089  
       29.8750000000   ,     9.3709086571  
       31.0000000000   ,    10.7891689521  
       32.1250000000   ,    12.4830905000  
       33.2500000000   ,    14.6887080811  
       34.3750000000   ,    17.7039582175  
       35.5000000000   ,    21.8908111158  
       36.6250000000   ,    27.7260428466  
       37.7500000000   ,    35.7771811337  
       38.8750000000   ,    46.3843927110  
       40.0000000000   ,    58.6520691991  
       41.1250000000   ,    68.9659920098  
       42.2500000000   ,    71.9563050817  
       43.3750000000   ,    66.0984803038  
       44.5000000000   ,    55.9437934031  
       45.6250000000   ,    46.5811119786  
       46.7500000000   ,    40.1714336315  
       47.8750000000   ,    36.9702695031  
       49.0000000000   ,    36.9057264579  
       50.1250000000   ,    39.2814966571  
       51.2500000000   ,    43.8813507522  
       52.3750000000   ,    50.1377452090  
       53.5000000000   ,    56.8446904420  
       54.6250000000   ,    61.3103416795  
       55.7500000000   ,    61.2485195273  
       56.8750000000   ,    57.5995114642  
       58.0000000000   ,    52.1755114632  
       59.1250000000   ,    45.3171024397  
       60.2500000000   ,    37.4447339793  
       61.3750000000   ,    29.9203757810  
       62.5000000000   ,    23.7668526749  
       63.6250000000   ,    19.1362158773  
       64.7500000000   ,    15.7601438115  
       65.8750000000   ,    13.3216039864  
       67.0000000000   ,    11.5748527412  
       68.1250000000   ,    10.6484865552  
       69.2500000000   ,     9.8659840118  
       70.3750000000   ,     9.4728506006  
       71.5000000000   ,     9.4671906494  
       72.6250000000   ,     9.8623833064  
       73.7500000000   ,    10.6105636805  
