X,Y
        0.0000000000 ,       0.1599586446  
        1.0000000000 ,       0.1648622994  
        2.0000000000 ,       0.1699978985  
        3.0000000000 ,       0.1753803736  
        4.0000000000 ,       0.1810258784  
        5.0000000000 ,       0.1869519116  
        6.0000000000 ,       0.1931774524  
        7.0000000000 ,       0.1997231142  
        8.0000000000 ,       0.2066113158  
        9.0000000000 ,       0.2138664745  
       10.0000000000 ,       0.2215152234  
       11.0000000000 ,       0.2295866570  
       12.0000000000 ,       0.2381126093  
       13.0000000000 ,       0.2471279682  
       14.0000000000 ,       0.2566710341  
       15.0000000000 ,       0.2667839272  
       16.0000000000 ,       0.2775130537  
       17.0000000000 ,       0.2889096387  
       18.0000000000 ,       0.3010303386  
       19.0000000000 ,       0.3139379451  
       20.0000000000 ,       0.3277021989  
       21.0000000000 ,       0.3424007306  
       22.0000000000 ,       0.3581201543  
       23.0000000000 ,       0.3749573406  
       24.0000000000 ,       0.3930209054  
       25.0000000000 ,       0.4124329557  
       26.0000000000 ,       0.4333311444  
       27.0000000000 ,       0.4558710988  
       28.0000000000 ,       0.4802293016  
       29.0000000000 ,       0.5066065223  
       30.0000000000 ,       0.5352319233  
       31.0000000000 ,       0.5663679948  
       32.0000000000 ,       0.6003165150  
       33.0000000000 ,       0.6374257842  
       34.0000000000 ,       0.6780994520  
       35.0000000000 ,       0.7228073491  
       36.0000000000 ,       0.7720988571  
       37.0000000000 ,       0.8266195131  
       38.0000000000 ,       0.8871317683  
       39.0000000000 ,       0.9545411197  
       40.0000000000 ,       1.0299292475  
       41.0000000000 ,       1.1145963656  
       42.0000000000 ,       1.2101157911  
       43.0000000000 ,       1.3184048784  
       44.0000000000 ,       1.4418180794  
       45.0000000000 ,       1.5832702358  
       46.0000000000 ,       1.7464016322  
       47.0000000000 ,       1.9358013902  
       48.0000000000 ,       2.1573133428  
       49.0000000000 ,       2.4184599351  
       50.0000000000 ,       2.7290371067  
       51.0000000000 ,       3.1019598536  
       52.0000000000 ,       3.5544794094  
       53.0000000000 ,       4.1099562788  
       54.0000000000 ,       4.8004685584  
       55.0000000000 ,       5.6970335700  
       56.0000000000 ,       6.8101796326  
       57.0000000000 ,       8.2553378715  
       58.0000000000 ,      10.1594780062  
       59.0000000000 ,      12.6994929825  
       60.0000000000 ,      16.1066391363  
       61.0000000000 ,      20.6310465595  
       62.0000000000 ,      26.3806845952  
       63.0000000000 ,      32.8928100389  
       64.0000000000 ,      38.5175599514  
       65.0000000000 ,      40.6650567271  
       66.0000000000 ,      38.0380534745  
       67.0000000000 ,      32.2007506627  
       68.0000000000 ,      25.7180174328  
       69.0000000000 ,      20.0943069597  
       70.0000000000 ,      15.7011606259  
       71.0000000000 ,      12.4007677242  
       72.0000000000 ,       9.9406247747  
       73.0000000000 ,       8.0947638071  
       74.0000000000 ,       6.6921334954  
       75.0000000000 ,       5.6103887322  
       76.0000000000 ,       4.7634492225  
       77.0000000000 ,       4.0906931623  
       78.0000000000 ,       3.5490477110  
       79.0000000000 ,       3.1075275572  
       80.0000000000 ,       2.7435348898  
       81.0000000000 ,       2.4403575462  
       82.0000000000 ,       2.1854668195  
       83.0000000000 ,       1.9693475065  
       84.0000000000 ,       1.7846840774  
       85.0000000000 ,       1.6257873370  
       86.0000000000 ,       1.4881853243  
       87.0000000000 ,       1.3683277335  
       88.0000000000 ,       1.2633697705  
       89.0000000000 ,       1.1710122708  
       90.0000000000 ,       1.0893821385  
       91.0000000000 ,       1.0169420117  
       92.0000000000 ,       0.9524213433  
       93.0000000000 ,       0.8947633366  
       94.0000000000 ,       0.8430837349  
       95.0000000000 ,       0.7966385565  
       96.0000000000 ,       0.7547986402  
       97.0000000000 ,       0.7170294202  
       98.0000000000 ,       0.6828747475  
       99.0000000000 ,       0.6519438676  
      100.0000000000 ,       0.6239008773  
      101.0000000000 ,       0.5984561441  
      102.0000000000 ,       0.5753592865  
      103.0000000000 ,       0.5543934085  
      104.0000000000 ,       0.5353703453  
      105.0000000000 ,       0.5181267308  
      106.0000000000 ,       0.5025207383  
      107.0000000000 ,       0.4884293752  
      108.0000000000 ,       0.4757462390  
      109.0000000000 ,       0.4643796602  
      110.0000000000 ,       0.4542511723  
      111.0000000000 ,       0.4452942629  
      112.0000000000 ,       0.4374533704  
      113.0000000000 ,       0.4306830977  
      114.0000000000 ,       0.4249476221  
      115.0000000000 ,       0.4202202900  
      116.0000000000 ,       0.4164833854  
      117.0000000000 ,       0.4137280734  
      118.0000000000 ,       0.4119545201  
      119.0000000000 ,       0.4111722011  
      120.0000000000 ,       0.4114004149  
      121.0000000000 ,       0.4126690276  
      122.0000000000 ,       0.4150194840  
      123.0000000000 ,       0.4185061332  
      124.0000000000 ,       0.4231979335  
      125.0000000000 ,       0.4291806193  
      126.0000000000 ,       0.4365594416  
      127.0000000000 ,       0.4454626265  
      128.0000000000 ,       0.4560457467  
      129.0000000000 ,       0.4684972583  
      130.0000000000 ,       0.4830455483  
      131.0000000000 ,       0.4999679539  
      132.0000000000 ,       0.5196023795  
      133.0000000000 ,       0.5423623760  
      134.0000000000 ,       0.5687568733  
      135.0000000000 ,       0.5994162400  
      136.0000000000 ,       0.6351270347  
      137.0000000000 ,       0.6768788361  
      138.0000000000 ,       0.7259280587  
      139.0000000000 ,       0.7838859382  
      140.0000000000 ,       0.8528413463  
      141.0000000000 ,       0.9355343984  
      142.0000000000 ,       1.0356050116  
      143.0000000000 ,       1.1579531698  
      144.0000000000 ,       1.3092668352  
      145.0000000000 ,       1.4988015904  
      146.0000000000 ,       1.7395336574  
      147.0000000000 ,       2.0498449192  
      148.0000000000 ,       2.4558857500  
      149.0000000000 ,       2.9945192819  
      150.0000000000 ,       3.7157048788  
      151.0000000000 ,       4.6797189866  
      152.0000000000 ,       5.9353389007  
      153.0000000000 ,       7.4489369002  
      154.0000000000 ,       8.9634348102  
      155.0000000000 ,       9.9179373391  
      156.0000000000 ,       9.7835222160  
      157.0000000000 ,       8.6465680602  
      158.0000000000 ,       7.1013619174  
      159.0000000000 ,       5.6463222772  
      160.0000000000 ,       4.4713655920  
      161.0000000000 ,       3.5803096724  
      162.0000000000 ,       2.9177669936  
      163.0000000000 ,       2.4250471322  
      164.0000000000 ,       2.0554089827  
      165.0000000000 ,       1.7748476332  
      166.0000000000 ,       1.5593561722  
      167.0000000000 ,       1.3920778963  
      168.0000000000 ,       1.2611115982  
      169.0000000000 ,       1.1579685020  
      170.0000000000 ,       1.0765216389  
      171.0000000000 ,       1.0122962684  
      172.0000000000 ,       0.9619892445  
      173.0000000000 ,       0.9231408387  
