X,Y
        0.6250000000     ,   0.2807631359   
        1.7500000000     ,   0.2957109578   
        2.8750000000     ,   0.3123878861   
        4.0000000000     ,   0.3311803313   
        5.1250000000     ,   0.3526102162   
        6.2500000000     ,   0.3773977443   
        7.3750000000     ,   0.4185470436   
        8.5000000000     ,   0.4537115981   
        9.6250000000     ,   0.4968433760   
       10.7500000000     ,   0.5510576270   
       11.8750000000     ,   0.6207804408   
       13.0000000000     ,   0.7116395886   
       14.1250000000     ,   0.8282858913   
       15.2500000000     ,   0.9661816208   
       16.3750000000     ,   1.0955474376   
       17.5000000000     ,   1.1615036077   
       18.6250000000     ,   1.1386786336   
       19.7500000000     ,   1.0676982548   
       20.8750000000     ,   1.0695830400   
       22.0000000000     ,   1.0311923471   
       23.1250000000     ,   1.0223198377   
       24.2500000000     ,   1.0391608318   
       25.3750000000     ,   1.0782283441   
       26.5000000000     ,   1.1378986667   
       27.6250000000     ,   1.2185651644   
       28.7500000000     ,   1.3226474530   
       29.8750000000     ,   1.4547853570   
       31.0000000000     ,   1.6221927493   
       32.1250000000     ,   1.8347004235   
       33.2500000000     ,   2.1027906229   
       34.3750000000     ,   2.4297661119   
       35.5000000000     ,   2.7977562627   
       36.6250000000     ,   3.1744629669   
       37.7500000000     ,   3.5712992406   
       38.8750000000     ,   4.0706484085   
       40.0000000000     ,   4.7680941971   
       41.1250000000     ,   5.7212122319   
       42.2500000000     ,   6.9102163999   
       43.3750000000     ,   8.2209804178   
       44.5000000000     ,   9.6047654867   
       45.6250000000     ,  11.2667535111   
       46.7500000000     ,  13.3909198295   
       47.8750000000     ,  15.5790739147   
       49.0000000000     ,  16.6620780638   
       50.1250000000     ,  15.7366988233   
       51.2500000000     ,  13.4070966459   
       52.3750000000     ,  10.9182733161   
       53.5000000000     ,   8.9349973652   
       54.6250000000     ,   7.5597113899   
       55.7500000000     ,   6.6971924388   
       56.8750000000     ,   6.2383375332   
       58.0000000000     ,   6.1099613107   
       59.1250000000     ,   6.2802810629   
       60.2500000000     ,   6.7570625225   
       61.3750000000     ,   7.5891242963   
       62.5000000000     ,   8.8920588624   
       63.6250000000     ,  10.7810643288   
       64.7500000000     ,  13.4738223385   
       65.8750000000     ,  17.1205814134   
       67.0000000000     ,  21.4947958675   
       68.1250000000     ,  25.4332756567   
       69.2500000000     ,  27.0795900675   
       70.3750000000     ,  25.9806004279   
       71.5000000000     ,  23.8667745613   
       72.6250000000     ,  22.4306430254   
       73.7500000000     ,  21.8951185076   
       74.8750000000     ,  21.1852107240   
       76.0000000000     ,  19.1384468044   
       77.1250000000     ,  15.9665060927   
       78.2500000000     ,  12.7338017643   
       79.3750000000     ,  10.0706347720   
       80.5000000000     ,   8.0463757123   
       81.6250000000     ,   6.5304723060   
       82.7500000000     ,   5.3927941758   
       83.8750000000     ,   4.5352735798   
       85.0000000000     ,   3.8832783554   
       86.1250000000     ,   3.3814599764   
       87.2500000000     ,   2.9903626486   
       88.3750000000     ,   2.6823900019   
       89.5000000000     ,   2.4383073789   
       90.6250000000     ,   2.2447098280   
       91.7500000000     ,   2.0923372869   
