X,Y
        0.0000000000    ,    0.0172623181 
        1.0000000000    ,    0.0175385801 
        2.0000000000    ,    0.0178216940 
        3.0000000000    ,    0.0181118981 
        4.0000000000    ,    0.0184094419 
        5.0000000000    ,    0.0187145868 
        6.0000000000    ,    0.0190276066 
        7.0000000000    ,    0.0193487887 
        8.0000000000    ,    0.0196784349 
        9.0000000000    ,    0.0200168620 
       10.0000000000    ,    0.0203644033 
       11.0000000000    ,    0.0207214095 
       12.0000000000    ,    0.0210882500 
       13.0000000000    ,    0.0214653142 
       14.0000000000    ,    0.0218530131 
       15.0000000000    ,    0.0222517809 
       16.0000000000    ,    0.0226620769 
       17.0000000000    ,    0.0230843871 
       18.0000000000    ,    0.0235192272 
       19.0000000000    ,    0.0239671441 
       20.0000000000    ,    0.0244287196 
       21.0000000000    ,    0.0249045727 
       22.0000000000    ,    0.0253953635 
       23.0000000000    ,    0.0259017970 
       24.0000000000    ,    0.0264246270 
       25.0000000000    ,    0.0269646620 
       26.0000000000    ,    0.0275227697 
       27.0000000000    ,    0.0280998841 
       28.0000000000    ,    0.0286970125 
       29.0000000000    ,    0.0293152441 
       30.0000000000    ,    0.0299557593 
       31.0000000000    ,    0.0306198415 
       32.0000000000    ,    0.0313088892 
       33.0000000000    ,    0.0320244323 
       34.0000000000    ,    0.0327681490 
       35.0000000000    ,    0.0335418876 
       36.0000000000    ,    0.0343476914 
       37.0000000000    ,    0.0351878283 
       38.0000000000    ,    0.0360648270 
       39.0000000000    ,    0.0369815202 
       40.0000000000    ,    0.0379410974 
       41.0000000000    ,    0.0389471693 
       42.0000000000    ,    0.0400038469 
       43.0000000000    ,    0.0411158400 
       44.0000000000    ,    0.0422885806 
       45.0000000000    ,    0.0435283769 
       46.0000000000    ,    0.0448426109 
       47.0000000000    ,    0.0462399899 
       48.0000000000    ,    0.0477308723 
       49.0000000000    ,    0.0493276933 
       50.0000000000    ,    0.0510455256 
       51.0000000000    ,    0.0529028272 
       52.0000000000    ,    0.0549224496 
       53.0000000000    ,    0.0571330121 
       54.0000000000    ,    0.0595708013 
       55.0000000000    ,    0.0622824258 
       56.0000000000    ,    0.0653285791 
       57.0000000000    ,    0.0687894396 
       58.0000000000    ,    0.0727725170 
       59.0000000000    ,    0.0774241724 
       60.0000000000    ,    0.0829466458 
       61.0000000000    ,    0.0896231949 
       62.0000000000    ,    0.0978545698 
       63.0000000000    ,    0.1082091269 
       64.0000000000    ,    0.1214815729 
       65.0000000000    ,    0.1387265532 
       66.0000000000    ,    0.1611428851 
       67.0000000000    ,    0.1894595225 
       68.0000000000    ,    0.2221693731 
       69.0000000000    ,    0.2525939829 
